ProductKey,Product Code,Product Name,Manufacturer,Brand,Color,Weight Unit Measure,Weight,Unit Cost,Unit Price,Subcategory Code,Subcategory,Category Code,Category
31,0101031,Contoso 32GB Video MP3 Player M3200 Orange,"Contoso, Ltd",Contoso,Orange,pounds,1.2,84.49,255,0101,MP4&MP3,01,Audio
32,0101032,Contoso 32GB Video MP3 Player M3200 Pink,"Contoso, Ltd",Contoso,Pink,ounces,8.8,84.49,255,0101,MP4&MP3,01,Audio
33,0101033,Contoso 32GB Video MP3 Player M3200 Black,"Contoso, Ltd",Contoso,Black,ounces,10.1,84.49,255,0101,MP4&MP3,01,Audio
34,0101034,Contoso 4GB Portable MP3 Player M450 Black,"Contoso, Ltd",Contoso,Black,ounces,0.55,48.92,95.95,0101,MP4&MP3,01,Audio
35,0101035,Contoso 4GB Portable MP3 Player M450 White,"Contoso, Ltd",Contoso,White,ounces,2.4,48.92,95.95,0101,MP4&MP3,01,Audio
36,0101036,Contoso 4GB Portable MP3 Player M450 Yellow,"Contoso, Ltd",Contoso,Yellow,pounds,2.9,48.92,95.95,0101,MP4&MP3,01,Audio
37,0101037,Contoso 8GB Clock & Radio MP3 Player X850 Silver,"Contoso, Ltd",Contoso,Silver,ounces,1.6,99.14,299.23,0101,MP4&MP3,01,Audio
38,0101038,Contoso 8GB Clock & Radio MP3 Player X850 Black,"Contoso, Ltd",Contoso,Black,pounds,2,99.14,299.23,0101,MP4&MP3,01,Audio
39,0101039,Contoso 8GB Clock & Radio MP3 Player X850 Green,"Contoso, Ltd",Contoso,Green,ounces,6.4,99.14,299.23,0101,MP4&MP3,01,Audio
40,0101040,Contoso 8GB Clock & Radio MP3 Player X850 Blue,"Contoso, Ltd",Contoso,Blue,ounces,5,99.14,299.23,0101,MP4&MP3,01,Audio
41,0101041,Contoso 16GB New Generation MP5 Player M1650 Silver,"Contoso, Ltd",Contoso,Silver,ounces,8,106.69,232,0101,MP4&MP3,01,Audio
42,0101042,Contoso 16GB New Generation MP5 Player M1650 White,"Contoso, Ltd",Contoso,White,ounces,12,106.69,232,0101,MP4&MP3,01,Audio
43,0101043,Contoso 16GB New Generation MP5 Player M1650 Black,"Contoso, Ltd",Contoso,Black,ounces,14.1,106.69,232,0101,MP4&MP3,01,Audio
44,0101044,Contoso 16GB New Generation MP5 Player M1650 blue,"Contoso, Ltd",Contoso,blue,pounds,1,106.69,232,0101,MP4&MP3,01,Audio
45,0101045,Contoso 16GB New Generation MP5 Player M1650 Pink,"Contoso, Ltd",Contoso,Pink,ounces,5,106.69,232,0101,MP4&MP3,01,Audio
46,0104001,WWI 1GB Pulse Smart pen E50 White,Wide World Importers,Wide World Importers,White,ounces,1.3,76.45,149.95,0104,Recording Pen,01,Audio
47,0104002,WWI 1GBPulse Smart pen E50 Black,Wide World Importers,Wide World Importers,Black,ounces,2.2,76.45,149.95,0104,Recording Pen,01,Audio
48,0104003,WWI 1GB Pulse Smart pen E50 Silver,Wide World Importers,Wide World Importers,Silver,grams,30,76.45,149.95,0104,Recording Pen,01,Audio
49,0104004,WWI 2GB Pulse Smart pen M100 White,Wide World Importers,Wide World Importers,White,grams,30,91.95,199.95,0104,Recording Pen,01,Audio
50,0104005,WWI 2GB Pulse Smart pen M100 Black,Wide World Importers,Wide World Importers,Black,ounces,2.2,91.95,199.95,0104,Recording Pen,01,Audio
51,0104006,WWI 2GB Pulse Smart pen M100 Blue,Wide World Importers,Wide World Importers,Blue,ounces,1.3,91.95,199.95,0104,Recording Pen,01,Audio
52,0104007,WWI 2GB Pulse Smart pen M100 Silver,Wide World Importers,Wide World Importers,Silver,ounces,2.2,91.95,199.95,0104,Recording Pen,01,Audio
53,0104008,WWI 4GB Video Recording Pen X200 Black,Wide World Importers,Wide World Importers,Black,grams,30,98.07,296,0104,Recording Pen,01,Audio
54,0104009,WWI 4GB Video Recording Pen X200 Red,Wide World Importers,Wide World Importers,Red,grams,30,98.07,296,0104,Recording Pen,01,Audio
55,0104010,WWI 4GB Video Recording Pen X200 Pink,Wide World Importers,Wide World Importers,Pink,ounces,2.2,98.07,296,0104,Recording Pen,01,Audio
56,0104011,WWI 4GB Video Recording Pen X200 Yellow,Wide World Importers,Wide World Importers,Yellow,ounces,1.3,98.07,296,0104,Recording Pen,01,Audio
57,0104012,WWI 1GB Digital Voice Recorder Pen E100 Black,Wide World Importers,Wide World Importers,Black,grams,30,79.53,156,0104,Recording Pen,01,Audio
58,0104013,WWI 1GB Digital Voice Recorder Pen E100 Red,Wide World Importers,Wide World Importers,Red,ounces,1.3,79.53,156,0104,Recording Pen,01,Audio
59,0104014,WWI 1GB Digital Voice Recorder Pen E100 Pink,Wide World Importers,Wide World Importers,Pink,ounces,2.2,79.53,156,0104,Recording Pen,01,Audio
60,0104015,WWI 1GB Digital Voice Recorder Pen E100 White,Wide World Importers,Wide World Importers,White,grams,30,79.53,156,0104,Recording Pen,01,Audio
61,0104016,WWI 2GB Spy Video Recorder Pen M300 Black,Wide World Importers,Wide World Importers,Black,grams,30,83.24,181,0104,Recording Pen,01,Audio
62,0104017,WWI 2GB Spy Video Recorder Pen M300 White,Wide World Importers,Wide World Importers,White,ounces,2.2,83.24,181,0104,Recording Pen,01,Audio
63,0104018,WWI 2GB Spy Video Recorder Pen M300 Blue,Wide World Importers,Wide World Importers,Blue,ounces,1.3,83.24,181,0104,Recording Pen,01,Audio
64,0104019,WWI 2GB Spy Video Recorder Pen M300 Silver,Wide World Importers,Wide World Importers,Silver,ounces,2.2,83.24,181,0104,Recording Pen,01,Audio
65,0104020,WWI 2GB Spy Video Recorder Pen M300 Purple,Wide World Importers,Wide World Importers,Purple,grams,30,83.24,181,0104,Recording Pen,01,Audio
66,0106001,NT Bluetooth Stereo Headphones E52 Blue,Northwind Traders,Northwind Traders,Blue,ounces,1.1,13.1,25.69,0106,Bluetooth Headphones,01,Audio
67,0106002,NT Bluetooth Stereo Headphones E52 Black,Northwind Traders,Northwind Traders,Black,ounces,6.6,13.1,25.69,0106,Bluetooth Headphones,01,Audio
68,0106003,NT Bluetooth Stereo Headphones E52 Yellow,Northwind Traders,Northwind Traders,Yellow,ounces,1.6,13.1,25.69,0106,Bluetooth Headphones,01,Audio
69,0106004,NT Bluetooth Stereo Headphones E52 Pink,Northwind Traders,Northwind Traders,Pink,ounces,6.6,13.1,25.69,0106,Bluetooth Headphones,01,Audio
70,0106005,NT Wireless Bluetooth Stereo Headphones E102 Silver,Northwind Traders,Northwind Traders,Silver,ounces,9.6,22.05,47.95,0106,Bluetooth Headphones,01,Audio
71,0106006,NT Wireless Bluetooth Stereo Headphones E102 Black,Northwind Traders,Northwind Traders,Black,pounds,2.1,22.05,47.95,0106,Bluetooth Headphones,01,Audio
72,0106007,NT Wireless Bluetooth Stereo Headphones E102 Blue,Northwind Traders,Northwind Traders,Blue,pounds,2.1,22.05,47.95,0106,Bluetooth Headphones,01,Audio
73,0106008,NT Wireless Bluetooth Stereo Headphones E102 White,Northwind Traders,Northwind Traders,White,pounds,1.2,22.05,47.95,0106,Bluetooth Headphones,01,Audio
74,0106009,NT Bluetooth Active Headphones E202 Black,Northwind Traders,Northwind Traders,Black,pounds,1.5,17.45,37.95,0106,Bluetooth Headphones,01,Audio
75,0106010,NT Bluetooth Active Headphones E202 White,Northwind Traders,Northwind Traders,White,ounces,11.4,17.45,37.95,0106,Bluetooth Headphones,01,Audio
76,0106011,NT Bluetooth Active Headphones E202 Red,Northwind Traders,Northwind Traders,Red,pounds,1,17.45,37.95,0106,Bluetooth Headphones,01,Audio
77,0106012,NT Bluetooth Active Headphones E202 Silver,Northwind Traders,Northwind Traders,Silver,grams,29,17.45,37.95,0106,Bluetooth Headphones,01,Audio
78,0106013,NT Wireless Bluetooth Stereo Headphones E302 Silver,Northwind Traders,Northwind Traders,Silver,pounds,1.5,18.65,40.55,0106,Bluetooth Headphones,01,Audio
79,0106014,NT Wireless Bluetooth Stereo Headphones E302 White,Northwind Traders,Northwind Traders,White,pounds,1,18.65,40.55,0106,Bluetooth Headphones,01,Audio
80,0106015,NT Wireless Bluetooth Stereo Headphones E302 Yellow,Northwind Traders,Northwind Traders,Yellow,ounces,9.6,18.65,40.55,0106,Bluetooth Headphones,01,Audio
81,0106016,NT Wireless Bluetooth Stereo Headphones E302 Black,Northwind Traders,Northwind Traders,Black,grams,29,18.65,40.55,0106,Bluetooth Headphones,01,Audio
82,0106017,NT Wireless Bluetooth Stereo Headphones E302 Pink,Northwind Traders,Northwind Traders,Pink,pounds,1,18.65,40.55,0106,Bluetooth Headphones,01,Audio
83,0106018,NT Wireless Bluetooth Stereo Headphones M402 Silver,Northwind Traders,Northwind Traders,Silver,pounds,3,45.98,99.99,0106,Bluetooth Headphones,01,Audio
84,0106019,NT Wireless Bluetooth Stereo Headphones M402 Red,Northwind Traders,Northwind Traders,Red,pounds,1.2,45.98,99.99,0106,Bluetooth Headphones,01,Audio
85,0106020,NT Wireless Bluetooth Stereo Headphones M402 Green,Northwind Traders,Northwind Traders,Green,pounds,3,45.98,99.99,0106,Bluetooth Headphones,01,Audio
86,0106021,NT Wireless Bluetooth Stereo Headphones M402 Black,Northwind Traders,Northwind Traders,Black,pounds,3,45.98,99.99,0106,Bluetooth Headphones,01,Audio
87,0106022,NT Wireless Bluetooth Stereo Headphones M402 Purple,Northwind Traders,Northwind Traders,Purple,ounces,1.3,45.98,99.99,0106,Bluetooth Headphones,01,Audio
88,0106023,NT Wireless Transmitter and Bluetooth Headphones M150 Black,Northwind Traders,Northwind Traders,Black,ounces,10.4,49.69,149.99,0106,Bluetooth Headphones,01,Audio
89,0106024,NT Wireless Transmitter and Bluetooth Headphones M150 Blue,Northwind Traders,Northwind Traders,Blue,ounces,5.6,49.69,149.99,0106,Bluetooth Headphones,01,Audio
90,0106025,NT Wireless Transmitter and Bluetooth Headphones M150 Silver,Northwind Traders,Northwind Traders,Silver,pounds,1,49.69,149.99,0106,Bluetooth Headphones,01,Audio
91,0106026,NT Wireless Transmitter and Bluetooth Headphones M150 Green,Northwind Traders,Northwind Traders,Green,ounces,8,49.69,149.99,0106,Bluetooth Headphones,01,Audio
92,0106027,NT Wireless Transmitter and Bluetooth Headphones M150 Red,Northwind Traders,Northwind Traders,Red,pounds,2,49.69,149.99,0106,Bluetooth Headphones,01,Audio
93,0106028,WWI Stereo Bluetooth Headphones E1000 Blue,Wide World Importers,Wide World Importers,Blue,ounces,8.2,34.36,67.4,0106,Bluetooth Headphones,01,Audio
94,0106029,WWI Stereo Bluetooth Headphones E1000 Black,Wide World Importers,Wide World Importers,Black,ounces,5,34.36,67.4,0106,Bluetooth Headphones,01,Audio
95,0106030,WWI Stereo Bluetooth Headphones E1000 Silver,Wide World Importers,Wide World Importers,Silver,ounces,6.4,34.36,67.4,0106,Bluetooth Headphones,01,Audio
96,0106031,WWI Stereo Bluetooth Headphones E1000 White,Wide World Importers,Wide World Importers,White,pounds,0.17,34.36,67.4,0106,Bluetooth Headphones,01,Audio
97,0106032,WWI Stereo Bluetooth Headphones E1000 Green,Wide World Importers,Wide World Importers,Green,pounds,1,34.36,67.4,0106,Bluetooth Headphones,01,Audio
98,0106033,WWI Wireless Bluetooth Stereo Headphones M170 Silver,Wide World Importers,Wide World Importers,Silver,ounces,1.14,55.18,120,0106,Bluetooth Headphones,01,Audio
99,0106034,WWI Wireless Bluetooth Stereo Headphones M170 Black,Wide World Importers,Wide World Importers,Black,ounces,12.8,55.18,120,0106,Bluetooth Headphones,01,Audio
100,0106035,WWI Wireless Bluetooth Stereo Headphones M170 White,Wide World Importers,Wide World Importers,White,ounces,5.9,55.18,120,0106,Bluetooth Headphones,01,Audio
101,0106036,WWI Wireless Bluetooth Stereo Headphones M170 Pink,Wide World Importers,Wide World Importers,Pink,pounds,1,55.18,120,0106,Bluetooth Headphones,01,Audio
102,0106037,WWI Wireless Bluetooth Stereo Headphones M270 Silver,Wide World Importers,Wide World Importers,Silver,pounds,1,52.88,115,0106,Bluetooth Headphones,01,Audio
103,0106038,WWI Wireless Bluetooth Stereo Headphones M270 Black,Wide World Importers,Wide World Importers,Black,ounces,12.8,52.88,115,0106,Bluetooth Headphones,01,Audio
104,0106039,WWI Wireless Bluetooth Stereo Headphones M270 White,Wide World Importers,Wide World Importers,White,pounds,1,52.88,115,0106,Bluetooth Headphones,01,Audio
105,0106040,WWI Wireless Bluetooth Stereo Headphones M270 Pink,Wide World Importers,Wide World Importers,Pink,ounces,3.2,52.88,115,0106,Bluetooth Headphones,01,Audio
106,0106041,WWI Stereo Bluetooth Headphones New Generation M370 Black,Wide World Importers,Wide World Importers,Black,pounds,1.8,61.16,132.99,0106,Bluetooth Headphones,01,Audio
107,0106042,WWI Stereo Bluetooth Headphones New Generation M370 White,Wide World Importers,Wide World Importers,White,pounds,2,61.16,132.99,0106,Bluetooth Headphones,01,Audio
108,0106043,WWI Stereo Bluetooth Headphones New Generation M370 Yellow,Wide World Importers,Wide World Importers,Yellow,ounces,11.4,61.16,132.99,0106,Bluetooth Headphones,01,Audio
109,0106044,WWI Stereo Bluetooth Headphones New Generation M370 Orange,Wide World Importers,Wide World Importers,Orange,ounces,3.2,61.16,132.99,0106,Bluetooth Headphones,01,Audio
110,0106045,WWI Stereo Bluetooth Headphones New Generation M370 Blue,Wide World Importers,Wide World Importers,Blue,pounds,2,61.16,132.99,0106,Bluetooth Headphones,01,Audio
111,0106046,WWI Wireless Transmitter and Bluetooth Headphones X250 Black,Wide World Importers,Wide World Importers,Black,pounds,2,82.83,249.99,0106,Bluetooth Headphones,01,Audio
112,0106047,WWI Wireless Transmitter and Bluetooth Headphones X250 Blue,Wide World Importers,Wide World Importers,Blue,pounds,2,82.83,249.99,0106,Bluetooth Headphones,01,Audio
113,0106048,WWI Wireless Transmitter and Bluetooth Headphones X250 White,Wide World Importers,Wide World Importers,White,ounces,7.7,82.83,249.99,0106,Bluetooth Headphones,01,Audio
114,0106049,WWI Wireless Transmitter and Bluetooth Headphones X250 Red,Wide World Importers,Wide World Importers,Red,ounces,2.4,82.83,249.99,0106,Bluetooth Headphones,01,Audio
115,0106050,WWI Wireless Transmitter and Bluetooth Headphones X250 Silver,Wide World Importers,Wide World Importers,Silver,ounces,11.5,82.83,249.99,0106,Bluetooth Headphones,01,Audio
116,0201001,"Adventure Works 20"" CRT TV E15 Silver",Adventure Works,Adventure Works ,Silver,pounds,27.9,86.67,169.99,0201,Televisions,02,TV and Video
117,0201002,"Adventure Works 20"" CRT TV E15 Black",Adventure Works,Adventure Works,Black,pounds,13,86.67,169.99,0201,Televisions,02,TV and Video
118,0201003,"Adventure Works 20"" CRT TV E15 White",Adventure Works,Adventure Works,White,pounds,9.8,86.67,169.99,0201,Televisions,02,TV and Video
119,0201004,"Adventure Works 13"" Color TV E25 Silver",Adventure Works,Adventure Works,Silver,pounds,13.2,61.17,119.99,0201,Televisions,02,TV and Video
120,0201005,"Adventure Works 13"" Color TV E25 Black",Adventure Works,Adventure Works,Black,pounds,20.1,61.17,119.99,0201,Televisions,02,TV and Video
121,0201006,"Adventure Works 13"" Color TV E25 White",Adventure Works,Adventure Works,White,pounds,6,61.17,119.99,0201,Televisions,02,TV and Video
122,0201007,"Adventure Works 19"" Portable LCD HDTV M110 Silver",Adventure Works,Adventure Works,Silver,pounds,2.7,128.76,279.99,0201,Televisions,02,TV and Video
123,0201008,"Adventure Works 19"" Portable LCD HDTV M110 Black",Adventure Works,Adventure Works,Black,pounds,2.7,128.76,279.99,0201,Televisions,02,TV and Video
124,0201009,"Adventure Works 19"" Portable LCD HDTV M110 White",Adventure Works,Adventure Works,White,pounds,9.6,128.76,279.99,0201,Televisions,02,TV and Video
125,0201010,"Adventure Works 19"" Color Digital TV E35 Silver",Adventure Works,Adventure Works,Silver,pounds,7.7,73.11,143.4,0201,Televisions,02,TV and Video
126,0201011,"Adventure Works 19"" Color Digital TV E35 Black",Adventure Works,Adventure Works,Black,pounds,50,73.11,143.4,0201,Televisions,02,TV and Video
127,0201012,"Adventure Works 19"" Color Digital TV E35 White",Adventure Works,Adventure Works,White,pounds,54.5,73.11,143.4,0201,Televisions,02,TV and Video
128,0201013,"Adventure Works 19"" Color Digital TV E35 Brown",Adventure Works,Adventure Works,Brown,pounds,2,73.11,143.4,0201,Televisions,02,TV and Video
129,0201014,"Adventure Works 20"" Analog CRT TV E45 Silver",Adventure Works,Adventure Works,Silver,pounds,32.8,101.97,200,0201,Televisions,02,TV and Video
130,0201015,"Adventure Works 20"" Analog CRT TV E45 Black",Adventure Works,Adventure Works,Black,pounds,21.8,101.97,200,0201,Televisions,02,TV and Video
131,0201016,"Adventure Works 20"" Analog CRT TV E45 White",Adventure Works,Adventure Works,White,pounds,56.4,101.97,200,0201,Televisions,02,TV and Video
132,0201017,"Adventure Works 20"" Analog CRT TV E45 Brown",Adventure Works,Adventure Works,Brown,pounds,20.9,101.97,200,0201,Televisions,02,TV and Video
133,0201018,"Adventure Works 20"" LCD HDTV M120 Silver",Adventure Works,Adventure Works,Silver,pounds,18.3,160.93,349.95,0201,Televisions,02,TV and Video
134,0201019,"Adventure Works 20"" LCD HDTV M120 Black",Adventure Works,Adventure Works,Black,pounds,23.2,160.93,349.95,0201,Televisions,02,TV and Video
135,0201020,"Adventure Works 20"" LCD HDTV M120 White",Adventure Works,Adventure Works,White,pounds,24,160.93,349.95,0201,Televisions,02,TV and Video
136,0201021,"Adventure Works 20"" LCD HDTV M120 Brown",Adventure Works,Adventure Works,Brown,pounds,25.2,160.93,349.95,0201,Televisions,02,TV and Video
137,0201022,"Adventure Works 32"" LCD HDTV M130 Silver",Adventure Works,Adventure Works,Silver,pounds,57.4,229.93,499.99,0201,Televisions,02,TV and Video
138,0201023,"Adventure Works 32"" LCD HDTV M130 Black",Adventure Works,Adventure Works,Black,pounds,11.1,229.93,499.99,0201,Televisions,02,TV and Video
139,0201024,"Adventure Works 32"" LCD HDTV M130 White",Adventure Works,Adventure Works,White,pounds,12.3,229.93,499.99,0201,Televisions,02,TV and Video
140,0201025,"Adventure Works 32"" LCD HDTV M130 Brown",Adventure Works,Adventure Works,Brown,pounds,49.2,229.93,499.99,0201,Televisions,02,TV and Video
141,0201026,"Adventure Works 15.6"" LCD TV M130W Silver",Adventure Works,Adventure Works,Silver,pounds,12.3,152.94,299.99,0201,Televisions,02,TV and Video
142,0201027,"Adventure Works 15.6"" LCD TV M130W Black",Adventure Works,Adventure Works,Black,pounds,49.2,152.94,299.99,0201,Televisions,02,TV and Video
143,0201028,"Adventure Works 15.6"" LCD TV M130W White",Adventure Works,Adventure Works,White,pounds,27.6,152.94,299.99,0201,Televisions,02,TV and Video
144,0201029,"Adventure Works 15.6"" LCD TV M130W Brown",Adventure Works,Adventure Works,Brown,pounds,24,152.94,299.99,0201,Televisions,02,TV and Video
145,0201030,"Adventure Works 52"" LCD HDTV X590 Silver",Adventure Works,Adventure Works,Silver,pounds,22.5,960.82,2899.99,0201,Televisions,02,TV and Video
146,0201031,"Adventure Works 52"" LCD HDTV X590 Black",Adventure Works,Adventure Works,Black,pounds,1,960.82,2899.99,0201,Televisions,02,TV and Video
147,0201032,"Adventure Works 52"" LCD HDTV X590 White",Adventure Works,Adventure Works,White,pounds,43,960.82,2899.99,0201,Televisions,02,TV and Video
148,0201033,"Adventure Works 52"" LCD HDTV X590 Brown",Adventure Works,Adventure Works,Brown,pounds,32.4,960.82,2899.99,0201,Televisions,02,TV and Video
149,0201034,"Adventure Works 40"" LCD HDTV M690 Silver",Adventure Works,Adventure Works,Silver,pounds,43,392.6,1184.97,0201,Televisions,02,TV and Video
150,0201035,"Adventure Works 40"" LCD HDTV M690 Black",Adventure Works,Adventure Works,Black,pounds,49.6,392.6,1184.97,0201,Televisions,02,TV and Video
151,0201036,"Adventure Works 40"" LCD HDTV M690 White",Adventure Works,Adventure Works,White,pounds,27,392.6,1184.97,0201,Televisions,02,TV and Video
152,0201037,"Adventure Works 40"" LCD HDTV M690 Brown",Adventure Works,Adventure Works,Brown,pounds,31,392.6,1184.97,0201,Televisions,02,TV and Video
153,0201038,"Adventure Works 26"" 720p LCD HDTV M140 Silver",Adventure Works,Adventure Works,Silver,pounds,59.3,216.12,469.97,0201,Televisions,02,TV and Video
154,0201039,"Adventure Works 26"" 720p LCD HDTV M140 Black",Adventure Works,Adventure Works,Black,pounds,1.3,216.12,469.97,0201,Televisions,02,TV and Video
155,0201040,"Adventure Works 26"" 720p LCD HDTV M140 White",Adventure Works,Adventure Works,White,pounds,47,216.12,469.97,0201,Televisions,02,TV and Video
156,0201041,"Adventure Works 26"" 720p LCD HDTV M140 Brown",Adventure Works,Adventure Works,Brown,pounds,66.1,216.12,469.97,0201,Televisions,02,TV and Video
157,0201042,"Adventure Works 37"" 1080p LCD HDTV M150W Silver",Adventure Works,Adventure Works,Silver,pounds,71,505.85,1099.99,0201,Televisions,02,TV and Video
158,0201043,"Adventure Works 37"" 1080p LCD HDTV M150W Black",Adventure Works,Adventure Works,Black,pounds,41.2,505.85,1099.99,0201,Televisions,02,TV and Video
159,0201044,"Adventure Works 37"" 1080p LCD HDTV M150W White",Adventure Works,Adventure Works,White,pounds,19.2,505.85,1099.99,0201,Televisions,02,TV and Video
160,0201045,"Adventure Works 37"" 1080p LCD HDTV M150W Brown",Adventure Works,Adventure Works,Brown,pounds,43.4,505.85,1099.99,0201,Televisions,02,TV and Video
161,0201046,"Adventure Works 52"" LCD HDTV X790W Silver",Adventure Works,Adventure Works,Silver,pounds,11.1,527.53,1592.2,0201,Televisions,02,TV and Video
162,0201047,"Adventure Works 52"" LCD HDTV X790W Black",Adventure Works,Adventure Works,Black,pounds,49.2,527.53,1592.2,0201,Televisions,02,TV and Video
163,0201048,"Adventure Works 52"" LCD HDTV X790W White",Adventure Works,Adventure Works,White,pounds,10.2,527.53,1592.2,0201,Televisions,02,TV and Video
164,0201049,"Adventure Works 52"" LCD HDTV X790W Brown",Adventure Works,Adventure Works,Brown,pounds,25.1,527.53,1592.2,0201,Televisions,02,TV and Video
165,0201050,"Adventure Works 42"" LCD HDTV M55 Black",Adventure Works,Adventure Works,Black,pounds,64.8,389.26,763.51,0201,Televisions,02,TV and Video
166,0202001,SV 16xDVD M300 Black,Southridge Video,Southridge Video,Black,pounds,7,54.72,119,0202,VCD & DVD,02,TV and Video
167,0202002,SV 8xDVD E100 Black,Southridge Video,Southridge Video,Black,pounds,8,35.18,69,0202,VCD & DVD,02,TV and Video
168,0202003,SV 16xDVD M310 Black,Southridge Video,Southridge Video,Black,pounds,5.6,59.32,129,0202,VCD & DVD,02,TV and Video
169,0202004,SV 16xDVD M320 Black,Southridge Video,Southridge Video,Black,pounds,6.4,54.72,119,0202,VCD & DVD,02,TV and Video
170,0202005,SV 16xDVD M330 Black,Southridge Video,Southridge Video,Black,pounds,8,50.13,109,0202,VCD & DVD,02,TV and Video
