Date,AUD,CAD,EUR,GBP,USD
08/31/20,1,0.9622,0.6168,0.5526,0.7364
08/30/20,1,0.9591,0.6167,0.5517,0.7348
08/29/20,1,0.9591,0.6167,0.5517,0.7348
08/28/20,1,0.9591,0.6167,0.5517,0.7348
08/27/20,1,0.9527,0.6138,0.5494,0.7247
08/26/20,1,0.9494,0.6108,0.5479,0.7201
08/25/20,1,0.9469,0.6071,0.546,0.7172
08/24/20,1,0.9465,0.6078,0.548,0.72
08/23/20,1,0.9465,0.6082,0.5459,0.7158
08/22/20,1,0.9465,0.6082,0.5459,0.7158
08/21/20,1,0.9465,0.6082,0.5459,0.7158
08/20/20,1,0.9462,0.6044,0.545,0.7163
08/19/20,1,0.955,0.6087,0.5499,0.7264
08/18/20,1,0.9529,0.608,0.5495,0.7239
08/17/20,1,0.9514,0.6066,0.5497,0.719
08/16/20,1,0.947,0.6051,0.5457,0.7149
08/15/20,1,0.947,0.6051,0.5457,0.7149
08/14/20,1,0.947,0.6051,0.5457,0.7149
08/13/20,1,0.9464,0.6053,0.547,0.7162
08/12/20,1,0.9473,0.6055,0.5479,0.7128
08/11/20,1,0.9543,0.6095,0.5476,0.7182
08/10/20,1,0.9571,0.6081,0.5482,0.7153
08/09/20,1,0.9614,0.6096,0.551,0.7204
08/08/20,1,0.9614,0.6096,0.551,0.7204
08/07/20,1,0.9614,0.6096,0.551,0.7204
08/06/20,1,0.9549,0.6064,0.5459,0.7181
08/05/20,1,0.9566,0.6092,0.5499,0.7221
08/04/20,1,0.9562,0.6062,0.5477,0.7132
08/03/20,1,0.9544,0.6058,0.5453,0.7103
08/02/20,1,0.9642,0.6065,0.5462,0.7186
08/01/20,1,0.9642,0.6065,0.5462,0.7186
07/31/20,1,0.9642,0.6065,0.5462,0.7186
07/30/20,1,0.959,0.6081,0.5489,0.714
07/29/20,1,0.9582,0.6117,0.5529,0.7172
07/28/20,1,0.9562,0.6093,0.5543,0.7139
07/27/20,1,0.9549,0.6071,0.5545,0.7139
07/26/20,1,0.9513,0.6106,0.5556,0.7088
07/25/20,1,0.9513,0.6106,0.5556,0.7088
07/24/20,1,0.9513,0.6106,0.5556,0.7088
07/23/20,1,0.9532,0.6155,0.5613,0.7121
07/22/20,1,0.9629,0.6196,0.5646,0.7174
07/21/20,1,0.9533,0.619,0.5575,0.7084
07/20/20,1,0.9494,0.6113,0.5537,0.6998
07/19/20,1,0.948,0.6112,0.5567,0.6985
07/18/20,1,0.948,0.6112,0.5567,0.6985
07/17/20,1,0.948,0.6112,0.5567,0.6985
07/16/20,1,0.9458,0.6121,0.5562,0.6986
07/15/20,1,0.953,0.6138,0.5557,0.7024
07/14/20,1,0.9474,0.6117,0.5553,0.6958
07/13/20,1,0.9457,0.6155,0.5535,0.6973
07/12/20,1,0.9439,0.6155,0.5513,0.694
07/11/20,1,0.9439,0.6155,0.5513,0.694
07/10/20,1,0.9439,0.6155,0.5513,0.694
07/09/20,1,0.943,0.6158,0.5521,0.6984
07/08/20,1,0.9443,0.6157,0.5536,0.6949
07/07/20,1,0.9419,0.615,0.5544,0.6943
07/06/20,1,0.9447,0.6161,0.5576,0.6978
07/05/20,1,0.9418,0.6182,0.5572,0.6939
07/04/20,1,0.9418,0.6182,0.5572,0.6939
07/03/20,1,0.9418,0.6182,0.5572,0.6939
07/02/20,1,0.9415,0.6136,0.5537,0.6926
07/01/20,1,0.9354,0.6147,0.5559,0.6885
06/30/20,1,0.9376,0.6118,0.5583,0.6851
06/29/20,1,0.9392,0.6095,0.558,0.6878
06/28/20,1,0.939,0.613,0.5552,0.6874
06/27/20,1,0.939,0.613,0.5552,0.6874
06/26/20,1,0.939,0.613,0.5552,0.6874
06/25/20,1,0.9363,0.6127,0.5523,0.6862
06/24/20,1,0.9381,0.6119,0.5528,0.6902
06/23/20,1,0.9384,0.6146,0.557,0.6956
06/22/20,1,0.9336,0.6138,0.5544,0.6883
06/21/20,1,0.9353,0.615,0.5566,0.6894
06/20/20,1,0.9353,0.615,0.5566,0.6894
06/19/20,1,0.9353,0.615,0.5566,0.6894
06/18/20,1,0.9304,0.6114,0.5504,0.6861
06/17/20,1,0.9332,0.6138,0.549,0.6894
06/16/20,1,0.9385,0.6126,0.5475,0.6927
06/15/20,1,0.9312,0.6069,0.5441,0.683
06/14/20,1,0.9331,0.608,0.5451,0.6873
06/13/20,1,0.9331,0.608,0.5451,0.6873
06/12/20,1,0.9331,0.608,0.5451,0.6873
06/11/20,1,0.933,0.609,0.546,0.6911
06/10/20,1,0.9388,0.6165,0.5485,0.7013
06/09/20,1,0.9336,0.6147,0.5479,0.6943
06/08/20,1,0.9362,0.619,0.5519,0.6985
06/07/20,1,0.939,0.6163,0.5512,0.6982
06/06/20,1,0.939,0.6163,0.5512,0.6982
06/05/20,1,0.939,0.6163,0.5512,0.6982
06/04/20,1,0.9341,0.6144,0.551,0.6912
06/03/20,1,0.932,0.6143,0.5471,0.6876
06/02/20,1,0.9262,0.6131,0.5462,0.6851
06/01/20,1,0.9236,0.6065,0.5439,0.6742
05/31/20,1,0.916,0.5995,0.5401,0.6676
05/30/20,1,0.916,0.5995,0.5401,0.6676
05/29/20,1,0.916,0.5995,0.5401,0.6676
05/28/20,1,0.9116,0.6015,0.5397,0.6627
05/27/20,1,0.9131,0.6037,0.5409,0.6635
05/26/20,1,0.9181,0.6046,0.5374,0.6636
05/25/20,1,0.915,0.5996,0.5367,0.6542
05/24/20,1,0.9149,0.599,0.5365,0.6532
05/23/20,1,0.9149,0.599,0.5365,0.6532
05/22/20,1,0.9149,0.599,0.5365,0.6532
05/21/20,1,0.9162,0.5984,0.5383,0.6583
05/20/20,1,0.9134,0.6005,0.5366,0.658
05/19/20,1,0.9105,0.597,0.5345,0.6537
05/18/20,1,0.9083,0.5975,0.5327,0.6472
05/17/20,1,0.9063,0.5951,0.528,0.6425
05/16/20,1,0.9063,0.5951,0.528,0.6425
05/15/20,1,0.9063,0.5951,0.528,0.6425
05/14/20,1,0.9059,0.5951,0.5266,0.6422
05/13/20,1,0.9135,0.5993,0.5288,0.6517
05/12/20,1,0.913,0.6015,0.528,0.6531
05/11/20,1,0.9059,0.5985,0.5259,0.6478
05/10/20,1,0.91,0.6019,0.5269,0.6527
05/09/20,1,0.91,0.6019,0.5269,0.6527
05/08/20,1,0.91,0.6019,0.5269,0.6527
05/07/20,1,0.9086,0.5987,0.5237,0.6455
05/06/20,1,0.8932,0.5866,0.5119,0.634
05/05/20,1,0.9035,0.5944,0.5174,0.6445
05/04/20,1,0.9041,0.5875,0.5164,0.6428
05/03/20,1,0.9084,0.6025,0.5236,0.6553
05/02/20,1,0.9084,0.6025,0.5236,0.6553
05/01/20,1,0.9084,0.6025,0.5236,0.6553
04/30/20,1,0.9084,0.6025,0.5236,0.6553
04/29/20,1,0.9084,0.6004,0.5246,0.651
04/28/20,1,0.9071,0.5976,0.5204,0.65
04/27/20,1,0.9083,0.5954,0.5196,0.6461
04/26/20,1,0.8955,0.5902,0.5164,0.6374
04/25/20,1,0.8955,0.5902,0.5164,0.6374
04/24/20,1,0.8955,0.5902,0.5164,0.6374
04/23/20,1,0.9,0.5911,0.5154,0.6367
04/22/20,1,0.8939,0.5814,0.5112,0.6318
04/21/20,1,0.8915,0.5792,0.5104,0.6276
04/20/20,1,0.897,0.5853,0.5112,0.6356
04/19/20,1,0.8942,0.5852,0.509,0.6355
04/18/20,1,0.8942,0.5852,0.509,0.6355
04/17/20,1,0.8942,0.5852,0.509,0.6355
04/16/20,1,0.8896,0.5792,0.5048,0.6306
04/15/20,1,0.8862,0.5781,0.5051,0.6303
04/14/20,1,0.8902,0.5835,0.5091,0.6397
04/13/20,1,0.8751,0.5733,0.502,0.623
04/12/20,1,0.8751,0.5733,0.502,0.623
04/11/20,1,0.8751,0.5733,0.502,0.623
04/10/20,1,0.8751,0.5733,0.502,0.623
04/09/20,1,0.8751,0.5733,0.502,0.623
04/08/20,1,0.8657,0.5683,0.4998,0.6178
04/07/20,1,0.8681,0.5689,0.5012,0.6192
04/06/20,1,0.8589,0.5621,0.4935,0.6066
04/05/20,1,0.8498,0.5554,0.4879,0.599
04/04/20,1,0.8498,0.5554,0.4879,0.599
04/03/20,1,0.8498,0.5554,0.4879,0.599
04/02/20,1,0.8598,0.5565,0.4882,0.6069
04/01/20,1,0.8642,0.5539,0.49,0.6058
03/31/20,1,0.8692,0.5566,0.4934,0.6098
03/30/20,1,0.8671,0.5549,0.4933,0.6123
03/29/20,1,0.8524,0.5492,0.4928,0.6028
03/28/20,1,0.8524,0.5492,0.4928,0.6028
03/27/20,1,0.8524,0.5492,0.4928,0.6028
03/26/20,1,0.8516,0.5506,0.503,0.6046
03/25/20,1,0.8636,0.5558,0.5085,0.6017
03/24/20,1,0.8581,0.546,0.5029,0.592
03/23/20,1,0.8345,0.538,0.5002,0.5802
03/22/20,1,0.8371,0.5487,0.4994,0.5875
03/21/20,1,0.8371,0.5487,0.4994,0.5875
03/20/20,1,0.8371,0.5487,0.4994,0.5875
03/19/20,1,0.8384,0.5366,0.499,0.5796
03/18/20,1,0.8482,0.5386,0.4965,0.5889
03/17/20,1,0.8483,0.5468,0.4967,0.6005
03/16/20,1,0.8539,0.5495,0.4996,0.6131
03/15/20,1,0.8702,0.5655,0.5037,0.6279
03/14/20,1,0.8702,0.5655,0.5037,0.6279
03/13/20,1,0.8702,0.5655,0.5037,0.6279
03/12/20,1,0.8784,0.5658,0.5014,0.636
03/11/20,1,0.8959,0.5751,0.5043,0.6519
03/10/20,1,0.8965,0.5755,0.5029,0.6555
03/09/20,1,0.9009,0.577,0.5042,0.6611
03/08/20,1,0.8895,0.5847,0.5096,0.6628
03/07/20,1,0.8895,0.5847,0.5096,0.6628
03/06/20,1,0.8895,0.5847,0.5096,0.6628
03/05/20,1,0.8879,0.5911,0.5123,0.6613
03/04/20,1,0.885,0.5955,0.5171,0.6624
03/03/20,1,0.8785,0.5913,0.5145,0.6574
03/02/20,1,0.874,0.5883,0.5125,0.6543
03/01/20,1,0.8745,0.5926,0.5056,0.6505
02/29/20,1,0.8745,0.5926,0.5056,0.6505
02/28/20,1,0.8745,0.5926,0.5056,0.6505
02/27/20,1,0.8779,0.5998,0.5098,0.6576
02/26/20,1,0.8735,0.6037,0.508,0.6565
02/25/20,1,0.876,0.6082,0.5086,0.6593
02/24/20,1,0.8772,0.6104,0.5117,0.6603
02/23/20,1,0.8751,0.6111,0.5104,0.6601
02/22/20,1,0.8751,0.6111,0.5104,0.6601
02/21/20,1,0.8751,0.6111,0.5104,0.6601
02/20/20,1,0.8779,0.6137,0.5145,0.6622
02/19/20,1,0.8847,0.6195,0.5151,0.6691
02/18/20,1,0.8858,0.6175,0.5124,0.6679
02/17/20,1,0.8887,0.62,0.5161,0.6718
02/16/20,1,0.8893,0.6192,0.5152,0.6713
02/15/20,1,0.8893,0.6192,0.5152,0.6713
02/14/20,1,0.8893,0.6192,0.5152,0.6713
02/13/20,1,0.8927,0.6197,0.5166,0.6734
02/12/20,1,0.8945,0.6182,0.5197,0.6747
02/11/20,1,0.8915,0.615,0.5186,0.6704
02/10/20,1,0.8905,0.6108,0.5169,0.6688
02/09/20,1,0.8896,0.6091,0.5161,0.6681
02/08/20,1,0.8896,0.6091,0.5161,0.6681
02/07/20,1,0.8896,0.6091,0.5161,0.6681
02/06/20,1,0.8973,0.6142,0.521,0.6758
02/05/20,1,0.8985,0.6135,0.5181,0.6763
02/04/20,1,0.8925,0.6083,0.5163,0.6721
02/03/20,1,0.8866,0.6053,0.5131,0.6698
02/02/20,1,0.8868,0.6063,0.5103,0.6701
02/01/20,1,0.8868,0.6063,0.5103,0.6701
01/31/20,1,0.8868,0.6063,0.5103,0.6701
01/30/20,1,0.8882,0.6093,0.5129,0.672
01/29/20,1,0.8894,0.6135,0.5189,0.6749
01/28/20,1,0.8911,0.6139,0.5194,0.6756
01/27/20,1,0.8925,0.6138,0.5178,0.6768
01/26/20,1,0.8986,0.6201,0.5228,0.6843
01/25/20,1,0.8986,0.6201,0.5228,0.6843
01/24/20,1,0.8986,0.6201,0.5228,0.6843
01/23/20,1,0.904,0.6192,0.5232,0.6868
01/22/20,1,0.8938,0.6179,0.5218,0.6851
01/21/20,1,0.8971,0.6182,0.5256,0.6871
01/20/20,1,0.8968,0.619,0.5279,0.6862
01/19/20,1,0.8993,0.6203,0.5279,0.689
01/18/20,1,0.8993,0.6203,0.5279,0.689
01/17/20,1,0.8993,0.6203,0.5279,0.689
01/16/20,1,0.9034,0.6205,0.5304,0.6931
01/15/20,1,0.8997,0.6177,0.5293,0.6883
01/14/20,1,0.9018,0.6207,0.5315,0.6899
01/13/20,1,0.9005,0.6205,0.5321,0.6903
01/12/20,1,0.8987,0.6199,0.5257,0.6875
01/11/20,1,0.8987,0.6199,0.5257,0.6875
01/10/20,1,0.8987,0.6199,0.5257,0.6875
01/09/20,1,0.8958,0.6176,0.5267,0.6861
01/08/20,1,0.8935,0.6175,0.524,0.6863
01/07/20,1,0.8935,0.6153,0.5242,0.6875
01/06/20,1,0.9011,0.6204,0.5287,0.6945
01/05/20,1,0.9027,0.6238,0.5309,0.6953
01/04/20,1,0.9027,0.6238,0.5309,0.6953
01/03/20,1,0.9027,0.6238,0.5309,0.6953
01/02/20,1,0.909,0.6248,0.53,0.6993
01/01/20,1,0.9127,0.6252,0.5319,0.7023
12/31/19,1,0.9127,0.6252,0.5319,0.7023
12/30/19,1,0.9143,0.6253,0.5328,0.6997
12/29/19,1,0.9122,0.6252,0.5322,0.6972
12/28/19,1,0.9122,0.6252,0.5322,0.6972
12/27/19,1,0.9122,0.6252,0.5322,0.6972
12/26/19,1,0.9103,0.6243,0.5339,0.6917
12/25/19,1,0.9103,0.6243,0.5339,0.6917
12/24/19,1,0.9103,0.6243,0.5339,0.6917
12/23/19,1,0.9106,0.6247,0.5354,0.6918
12/22/19,1,0.9062,0.6216,0.5292,0.6898
12/21/19,1,0.9062,0.6216,0.5292,0.6898
12/20/19,1,0.9062,0.6216,0.5292,0.6898
12/19/19,1,0.9012,0.6177,0.5255,0.6867
12/18/19,1,0.9012,0.6163,0.5242,0.685
12/17/19,1,0.9016,0.6137,0.5201,0.685
12/16/19,1,0.9038,0.6182,0.5156,0.689
12/15/19,1,0.9105,0.6189,0.5168,0.6915
12/14/19,1,0.9105,0.6189,0.5168,0.6915
12/13/19,1,0.9105,0.6189,0.5168,0.6915
12/12/19,1,0.9079,0.6186,0.5231,0.689
12/11/19,1,0.9053,0.6175,0.5202,0.6839
12/10/19,1,0.9011,0.6144,0.5166,0.6806
12/09/19,1,0.9043,0.6162,0.5188,0.6825
12/08/19,1,0.9029,0.6177,0.5216,0.6852
12/07/19,1,0.9029,0.6177,0.5216,0.6852
12/06/19,1,0.9029,0.6177,0.5216,0.6852
12/05/19,1,0.899,0.6153,0.5198,0.6827
12/04/19,1,0.9077,0.6172,0.5222,0.6839
12/03/19,1,0.9111,0.6178,0.5264,0.684
12/02/19,1,0.9025,0.6158,0.5247,0.6788
12/01/19,1,0.9005,0.6162,0.5252,0.6767
11/30/19,1,0.9005,0.6162,0.5252,0.6767
11/29/19,1,0.9005,0.6162,0.5252,0.6767
11/28/19,1,0.8998,0.6153,0.5241,0.6771
11/27/19,1,0.9004,0.6165,0.5268,0.6787
11/26/19,1,0.9023,0.6153,0.5274,0.6781
11/25/19,1,0.9024,0.6161,0.5268,0.6782
11/24/19,1,0.9013,0.614,0.5279,0.6789
11/23/19,1,0.9013,0.614,0.5279,0.6789
11/22/19,1,0.9013,0.614,0.5279,0.6789
11/21/19,1,0.9065,0.6142,0.5254,0.6812
11/20/19,1,0.9066,0.6163,0.5282,0.6815
11/19/19,1,0.9014,0.616,0.5271,0.6823
11/18/19,1,0.9003,0.6157,0.5254,0.681
11/17/19,1,0.9006,0.6165,0.5281,0.6802
11/16/19,1,0.9006,0.6165,0.5281,0.6802
11/15/19,1,0.9006,0.6165,0.5281,0.6802
11/14/19,1,0.8998,0.6168,0.5282,0.6783
11/13/19,1,0.9048,0.6201,0.5318,0.6825
11/12/19,1,0.9068,0.6216,0.5335,0.6847
11/11/19,1,0.907,0.6209,0.5324,0.6856
11/10/19,1,0.9064,0.6225,0.5363,0.6868
11/09/19,1,0.9064,0.6225,0.5363,0.6868
11/08/19,1,0.9064,0.6225,0.5363,0.6868
11/07/19,1,0.9082,0.6227,0.5383,0.6898
11/06/19,1,0.9085,0.6223,0.5354,0.6901
11/05/19,1,0.907,0.6219,0.5356,0.6909
11/04/19,1,0.9085,0.6189,0.5345,0.6906
11/03/19,1,0.909,0.6192,0.5325,0.6897
11/02/19,1,0.909,0.6192,0.5325,0.6897
11/01/19,1,0.909,0.6192,0.5325,0.6897
10/31/19,1,0.9093,0.6197,0.5338,0.6912
10/30/19,1,0.8972,0.6173,0.5321,0.6856
10/29/19,1,0.895,0.6178,0.5333,0.6855
10/28/19,1,0.8918,0.6156,0.5314,0.6825
10/27/19,1,0.8919,0.6146,0.5323,0.6827
10/26/19,1,0.8919,0.6146,0.5323,0.6827
10/25/19,1,0.8919,0.6146,0.5323,0.6827
10/24/19,1,0.8938,0.6145,0.5303,0.6838
10/23/19,1,0.8958,0.6153,0.5317,0.6844
10/22/19,1,0.898,0.6159,0.5301,0.6855
10/21/19,1,0.9017,0.6158,0.5291,0.688
10/20/19,1,0.8993,0.6143,0.531,0.6846
10/19/19,1,0.8993,0.6143,0.531,0.6846
10/18/19,1,0.8993,0.6143,0.531,0.6846
10/17/19,1,0.8987,0.6137,0.533,0.682
10/16/19,1,0.8883,0.61,0.528,0.6725
10/15/19,1,0.8938,0.6138,0.5343,0.6756
10/14/19,1,0.8929,0.6126,0.5389,0.6757
10/13/19,1,0.9035,0.6155,0.5387,0.6797
10/12/19,1,0.9035,0.6155,0.5387,0.6797
10/11/19,1,0.9035,0.6155,0.5387,0.6797
10/10/19,1,0.9001,0.6132,0.5529,0.6764
10/09/19,1,0.8971,0.6142,0.5518,0.6744
10/08/19,1,0.8979,0.614,0.5514,0.6746
10/07/19,1,0.8968,0.6129,0.5464,0.6738
10/06/19,1,0.8994,0.6155,0.5481,0.6758
10/05/19,1,0.8994,0.6155,0.5481,0.6758
10/04/19,1,0.8994,0.6155,0.5481,0.6758
