Date,GBP,AUD,CAD,EUR,USD
11/01/20,1,1.8361,1.7245,1.1085,1.2968
10/31/20,1,1.8361,1.7245,1.1085,1.2968
10/30/20,1,1.8361,1.7245,1.1085,1.2968
10/29/20,1,1.8437,1.7315,1.1058,1.2943
10/28/20,1,1.8313,1.7183,1.103,1.2935
10/27/20,1,1.8282,1.7184,1.1023,1.3043
10/26/20,1,1.8282,1.7167,1.1019,1.3023
10/25/20,1,1.8283,1.7163,1.1028,1.3075
10/24/20,1,1.8283,1.7163,1.1028,1.3075
10/23/20,1,1.8283,1.7163,1.1028,1.3075
10/22/20,1,1.8437,1.7235,1.1078,1.3095
10/21/20,1,1.8438,1.7142,1.1019,1.3059
10/20/20,1,1.8396,1.7056,1.0949,1.2931
10/19/20,1,1.8297,1.7136,1.1039,1.3009
10/18/20,1,1.8209,1.7046,1.0999,1.2914
10/17/20,1,1.8209,1.7046,1.0999,1.2914
10/16/20,1,1.8209,1.7046,1.0999,1.2914
10/15/20,1,1.8285,1.7069,1.1045,1.2921
10/14/20,1,1.8118,1.7072,1.1063,1.2999
10/13/20,1,1.8107,1.7055,1.1039,1.3011
10/12/20,1,1.8054,1.7101,1.1038,1.3023
10/11/20,1,1.7994,1.7048,1.0969,1.2938
10/10/20,1,1.7994,1.7048,1.0969,1.2938
10/09/20,1,1.7994,1.7048,1.0969,1.2938
10/08/20,1,1.8038,1.7118,1.0985,1.2924
10/07/20,1,1.805,1.7109,1.0939,1.2876
10/06/20,1,1.809,1.7165,1.0982,1.2953
10/05/20,1,1.8037,1.7194,1.1012,1.2959
10/04/20,1,1.8056,1.7208,1.1029,1.2937
10/03/20,1,1.8056,1.7208,1.1029,1.2937
10/02/20,1,1.8056,1.7208,1.1029,1.2937
10/01/20,1,1.7988,1.7213,1.1023,1.2954
09/30/20,1,1.8017,1.7182,1.0961,1.2833
09/29/20,1,1.8043,1.721,1.0993,1.2865
09/28/20,1,1.8245,1.7258,1.1049,1.2894
09/27/20,1,1.8116,1.7035,1.0948,1.2737
09/26/20,1,1.8116,1.7035,1.0948,1.2737
09/25/20,1,1.8116,1.7035,1.0948,1.2737
09/24/20,1,1.8129,1.71,1.0962,1.2765
09/23/20,1,1.7891,1.6971,1.0883,1.2725
09/22/20,1,1.7754,1.7038,1.09,1.2797
09/21/20,1,1.7728,1.7033,1.0916,1.2867
09/20/20,1,1.7786,1.7084,1.0951,1.2958
09/19/20,1,1.7786,1.7084,1.0951,1.2958
09/18/20,1,1.7786,1.7084,1.0951,1.2958
09/17/20,1,1.7647,1.7008,1.0925,1.2889
09/16/20,1,1.7691,1.7094,1.0938,1.2983
09/15/20,1,1.7611,1.6976,1.0858,1.2913
09/14/20,1,1.771,1.6966,1.0847,1.2882
09/13/20,1,1.7579,1.6905,1.0822,1.2828
09/12/20,1,1.7579,1.6905,1.0822,1.2828
09/11/20,1,1.7579,1.6905,1.0822,1.2828
09/10/20,1,1.7777,1.7017,1.0918,1.2937
09/09/20,1,1.7831,1.7062,1.0963,1.2907
09/08/20,1,1.8005,1.7161,1.1055,1.3029
09/07/20,1,1.8069,1.7236,1.1132,1.3162
09/06/20,1,1.8238,1.7361,1.1195,1.3257
09/05/20,1,1.8238,1.7361,1.1195,1.3257
09/04/20,1,1.8238,1.7361,1.1195,1.3257
09/03/20,1,1.8196,1.7379,1.1219,1.3253
09/02/20,1,1.8202,1.7441,1.1256,1.3351
09/01/20,1,1.8255,1.7533,1.1239,1.3472
08/31/20,1,1.8095,1.7411,1.116,1.3325
08/30/20,1,1.8125,1.7384,1.1177,1.3318
08/29/20,1,1.8125,1.7384,1.1177,1.3318
08/28/20,1,1.8125,1.7384,1.1177,1.3318
08/27/20,1,1.8201,1.7341,1.1173,1.319
08/26/20,1,1.8253,1.733,1.115,1.3144
08/25/20,1,1.8313,1.7341,1.1118,1.3135
08/24/20,1,1.8247,1.7271,1.109,1.3138
08/23/20,1,1.8319,1.7339,1.1141,1.3112
08/22/20,1,1.8319,1.7339,1.1141,1.3112
08/21/20,1,1.8319,1.7339,1.1141,1.3112
08/20/20,1,1.8347,1.736,1.109,1.3141
08/19/20,1,1.8184,1.7365,1.1069,1.3208
08/18/20,1,1.8199,1.7341,1.1065,1.3174
08/17/20,1,1.819,1.7306,1.1034,1.3079
08/16/20,1,1.8326,1.7354,1.109,1.31
08/15/20,1,1.8326,1.7354,1.109,1.31
08/14/20,1,1.8326,1.7354,1.109,1.31
08/13/20,1,1.8282,1.7303,1.1065,1.3094
08/12/20,1,1.8253,1.7291,1.1053,1.301
08/11/20,1,1.8261,1.7426,1.1131,1.3115
08/10/20,1,1.8241,1.7458,1.1092,1.3048
08/09/20,1,1.815,1.745,1.1065,1.3076
08/08/20,1,1.815,1.745,1.1065,1.3076
08/07/20,1,1.815,1.745,1.1065,1.3076
08/06/20,1,1.8318,1.7491,1.1107,1.3154
08/05/20,1,1.8185,1.7397,1.1078,1.3132
08/04/20,1,1.826,1.7461,1.107,1.3024
08/03/20,1,1.834,1.7503,1.111,1.3027
08/02/20,1,1.8309,1.7654,1.1105,1.3157
08/01/20,1,1.8309,1.7654,1.1105,1.3157
07/31/20,1,1.8309,1.7654,1.1105,1.3157
07/30/20,1,1.8219,1.7471,1.1078,1.3009
07/29/20,1,1.8087,1.7331,1.1064,1.2972
07/28/20,1,1.8042,1.7251,1.0993,1.288
07/27/20,1,1.8034,1.722,1.0948,1.2875
07/26/20,1,1.7999,1.7122,1.0991,1.2758
07/25/20,1,1.7999,1.7122,1.0991,1.2758
07/24/20,1,1.7999,1.7122,1.0991,1.2758
07/23/20,1,1.7815,1.6981,1.0966,1.2686
07/22/20,1,1.7711,1.7054,1.0974,1.2706
07/21/20,1,1.7938,1.71,1.1104,1.2707
07/20/20,1,1.8061,1.7148,1.1041,1.2639
07/19/20,1,1.7963,1.7029,1.098,1.2547
07/18/20,1,1.7963,1.7029,1.098,1.2547
07/17/20,1,1.7963,1.7029,1.098,1.2547
07/16/20,1,1.7979,1.7004,1.1004,1.256
07/15/20,1,1.7995,1.7149,1.1045,1.264
07/14/20,1,1.8009,1.7061,1.1016,1.2531
07/13/20,1,1.8066,1.7085,1.1119,1.2596
07/12/20,1,1.8139,1.7122,1.1164,1.2589
07/11/20,1,1.8139,1.7122,1.1164,1.2589
07/10/20,1,1.8139,1.7122,1.1164,1.2589
07/09/20,1,1.8113,1.7081,1.1154,1.2651
07/08/20,1,1.8062,1.7057,1.1121,1.2551
07/07/20,1,1.8038,1.6991,1.1093,1.2524
07/06/20,1,1.7933,1.6942,1.1049,1.2513
07/05/20,1,1.7948,1.6903,1.1096,1.2455
07/04/20,1,1.7948,1.6903,1.1096,1.2455
07/03/20,1,1.7948,1.6903,1.1096,1.2455
07/02/20,1,1.8062,1.7005,1.1083,1.2509
07/01/20,1,1.799,1.6827,1.1058,1.2385
06/30/20,1,1.7913,1.6795,1.096,1.2273
06/29/20,1,1.7922,1.6833,1.0924,1.2327
06/28/20,1,1.801,1.6912,1.1041,1.238
06/27/20,1,1.801,1.6912,1.1041,1.238
06/26/20,1,1.801,1.6912,1.1041,1.238
06/25/20,1,1.8108,1.6955,1.1095,1.2426
06/24/20,1,1.8089,1.697,1.1069,1.2486
06/23/20,1,1.7954,1.6848,1.1034,1.2488
06/22/20,1,1.8036,1.6839,1.1071,1.2414
06/21/20,1,1.7967,1.6805,1.1049,1.2386
06/20/20,1,1.7967,1.6805,1.1049,1.2386
06/19/20,1,1.7967,1.6805,1.1049,1.2386
06/18/20,1,1.8168,1.6904,1.1108,1.2465
06/17/20,1,1.8214,1.6998,1.118,1.2557
06/16/20,1,1.8266,1.7142,1.1189,1.2653
06/15/20,1,1.8379,1.7114,1.1155,1.2552
06/14/20,1,1.8345,1.7118,1.1154,1.2609
06/13/20,1,1.8345,1.7118,1.1154,1.2609
06/12/20,1,1.8345,1.7118,1.1154,1.2609
06/11/20,1,1.8314,1.7087,1.1153,1.2656
06/10/20,1,1.8232,1.7117,1.1241,1.2786
06/09/20,1,1.8253,1.7041,1.1221,1.2673
06/08/20,1,1.8118,1.6963,1.1214,1.2655
06/07/20,1,1.8141,1.7034,1.118,1.2667
06/06/20,1,1.8141,1.7034,1.118,1.2667
06/05/20,1,1.8141,1.7034,1.118,1.2667
06/04/20,1,1.8148,1.6952,1.115,1.2544
06/03/20,1,1.8279,1.7036,1.1228,1.2568
06/02/20,1,1.8309,1.6957,1.1225,1.2543
06/01/20,1,1.8387,1.6982,1.1152,1.2396
05/31/20,1,1.8516,1.6961,1.11,1.2361
05/30/20,1,1.8516,1.6961,1.11,1.2361
05/29/20,1,1.8516,1.6961,1.11,1.2361
05/28/20,1,1.8527,1.689,1.1145,1.2277
05/27/20,1,1.8489,1.6883,1.1161,1.2267
05/26/20,1,1.8609,1.7084,1.1251,1.2348
05/25/20,1,1.8632,1.7049,1.1171,1.2188
05/24/20,1,1.8639,1.7053,1.1165,1.2175
05/23/20,1,1.8639,1.7053,1.1165,1.2175
05/22/20,1,1.8639,1.7053,1.1165,1.2175
05/21/20,1,1.8578,1.7022,1.1118,1.223
05/20/20,1,1.8636,1.7023,1.1191,1.2263
05/19/20,1,1.8709,1.7034,1.1169,1.223
05/18/20,1,1.8772,1.7052,1.1217,1.215
05/17/20,1,1.8938,1.7164,1.1269,1.2168
05/16/20,1,1.8938,1.7164,1.1269,1.2168
05/15/20,1,1.8938,1.7164,1.1269,1.2168
05/14/20,1,1.899,1.7203,1.13,1.2195
05/13/20,1,1.891,1.7273,1.1332,1.2324
05/12/20,1,1.8941,1.7292,1.1393,1.2371
05/11/20,1,1.9015,1.7224,1.138,1.2317
05/10/20,1,1.8979,1.7271,1.1424,1.2387
05/09/20,1,1.8979,1.7271,1.1424,1.2387
05/08/20,1,1.8979,1.7271,1.1424,1.2387
05/07/20,1,1.9095,1.735,1.1431,1.2327
05/06/20,1,1.9536,1.7449,1.1461,1.2386
05/05/20,1,1.9326,1.746,1.1486,1.2455
05/04/20,1,1.9366,1.7509,1.1377,1.2449
05/03/20,1,1.9099,1.7349,1.1507,1.2515
05/02/20,1,1.9099,1.7349,1.1507,1.2515
05/01/20,1,1.9099,1.7349,1.1507,1.2515
04/30/20,1,1.9099,1.7349,1.1507,1.2515
04/29/20,1,1.9061,1.7314,1.1445,1.2408
04/28/20,1,1.9217,1.7431,1.1484,1.2491
04/27/20,1,1.9246,1.7482,1.146,1.2436
04/26/20,1,1.9364,1.7341,1.1429,1.2343
04/25/20,1,1.9364,1.7341,1.1429,1.2343
04/24/20,1,1.9364,1.7341,1.1429,1.2343
04/23/20,1,1.9401,1.7461,1.1468,1.2353
04/22/20,1,1.9562,1.7487,1.1374,1.236
04/21/20,1,1.9594,1.7468,1.1348,1.2298
04/20/20,1,1.9561,1.7546,1.1449,1.2434
04/19/20,1,1.9646,1.7568,1.1497,1.2486
04/18/20,1,1.9646,1.7568,1.1497,1.2486
04/17/20,1,1.9646,1.7568,1.1497,1.2486
04/16/20,1,1.9809,1.7621,1.1473,1.2492
04/15/20,1,1.9796,1.7543,1.1444,1.2477
04/14/20,1,1.9643,1.7486,1.1461,1.2565
04/13/20,1,1.9921,1.7433,1.142,1.241
04/12/20,1,1.9921,1.7433,1.142,1.241
04/11/20,1,1.9921,1.7433,1.142,1.241
04/10/20,1,1.9921,1.7433,1.142,1.241
04/09/20,1,1.9921,1.7433,1.142,1.241
04/08/20,1,2.0007,1.732,1.137,1.2361
04/07/20,1,1.9954,1.7321,1.1352,1.2356
04/06/20,1,2.0262,1.7403,1.139,1.229
04/05/20,1,2.0494,1.7415,1.1383,1.2277
04/04/20,1,2.0494,1.7415,1.1383,1.2277
04/03/20,1,2.0494,1.7415,1.1383,1.2277
04/02/20,1,2.0481,1.761,1.1398,1.243
04/01/20,1,2.0408,1.7636,1.1305,1.2363
03/31/20,1,2.0269,1.7618,1.1281,1.236
03/30/20,1,2.0271,1.7577,1.1249,1.2412
03/29/20,1,2.029,1.7295,1.1143,1.2232
03/28/20,1,2.029,1.7295,1.1143,1.2232
03/27/20,1,2.029,1.7295,1.1143,1.2232
03/26/20,1,1.9882,1.6931,1.0947,1.2021
03/25/20,1,1.9664,1.6982,1.0929,1.1832
03/24/20,1,1.9886,1.7064,1.0858,1.1773
03/23/20,1,1.9991,1.6683,1.0756,1.1598
03/22/20,1,2.0022,1.6761,1.0986,1.1762
03/21/20,1,2.0022,1.6761,1.0986,1.1762
03/20/20,1,2.0022,1.6761,1.0986,1.1762
03/19/20,1,2.0041,1.6802,1.0754,1.1616
03/18/20,1,2.0141,1.7083,1.0847,1.186
03/17/20,1,2.0135,1.7079,1.101,1.2092
03/16/20,1,2.0016,1.7091,1.0999,1.2271
03/15/20,1,1.9854,1.7277,1.1227,1.2467
03/14/20,1,1.9854,1.7277,1.1227,1.2467
03/13/20,1,1.9854,1.7277,1.1227,1.2467
03/12/20,1,1.9943,1.7517,1.1284,1.2683
03/11/20,1,1.983,1.7766,1.1404,1.2927
03/10/20,1,1.9886,1.7828,1.1444,1.3034
03/09/20,1,1.9832,1.7867,1.1444,1.311
03/08/20,1,1.9621,1.7453,1.1472,1.3005
03/07/20,1,1.9621,1.7453,1.1472,1.3005
03/06/20,1,1.9621,1.7453,1.1472,1.3005
03/05/20,1,1.9519,1.7331,1.1538,1.2908
03/04/20,1,1.9337,1.7112,1.1514,1.2809
03/03/20,1,1.9436,1.7075,1.1493,1.2777
03/02/20,1,1.9513,1.7055,1.1479,1.2767
03/01/20,1,1.978,1.7297,1.1721,1.2866
02/29/20,1,1.978,1.7297,1.1721,1.2866
02/28/20,1,1.978,1.7297,1.1721,1.2866
02/27/20,1,1.9615,1.722,1.1765,1.29
02/26/20,1,1.9685,1.7194,1.1884,1.2923
02/25/20,1,1.966,1.7222,1.1957,1.2962
02/24/20,1,1.9544,1.7144,1.1928,1.2904
02/23/20,1,1.9594,1.7148,1.1975,1.2934
02/22/20,1,1.9594,1.7148,1.1975,1.2934
02/21/20,1,1.9594,1.7148,1.1975,1.2934
02/20/20,1,1.9435,1.7061,1.1927,1.287
02/19/20,1,1.9414,1.7175,1.2027,1.2989
02/18/20,1,1.9516,1.7286,1.205,1.3034
02/17/20,1,1.9377,1.7221,1.2014,1.3017
02/16/20,1,1.941,1.7262,1.2018,1.303
02/15/20,1,1.941,1.7262,1.2018,1.303
02/14/20,1,1.941,1.7262,1.2018,1.303
02/13/20,1,1.9356,1.7279,1.1994,1.3034
02/12/20,1,1.9243,1.7212,1.1897,1.2984
02/11/20,1,1.9283,1.7189,1.1859,1.2927
02/10/20,1,1.9347,1.7228,1.1816,1.294
02/09/20,1,1.9378,1.7238,1.1804,1.2947
02/08/20,1,1.9378,1.7238,1.1804,1.2947
02/07/20,1,1.9378,1.7238,1.1804,1.2947
02/06/20,1,1.9193,1.7222,1.1788,1.297
02/05/20,1,1.9302,1.7342,1.1842,1.3054
02/04/20,1,1.9367,1.7284,1.1781,1.3016
02/03/20,1,1.9488,1.7277,1.1796,1.3053
02/02/20,1,1.9595,1.7377,1.188,1.313
02/01/20,1,1.9595,1.7377,1.188,1.313
01/31/20,1,1.9595,1.7377,1.188,1.313
01/30/20,1,1.9496,1.7316,1.1879,1.3101
01/29/20,1,1.9271,1.7139,1.1823,1.3007
01/28/20,1,1.9255,1.7158,1.182,1.3008
01/27/20,1,1.9312,1.7235,1.1854,1.3069
01/26/20,1,1.9128,1.7187,1.1861,1.3088
01/25/20,1,1.9128,1.7187,1.1861,1.3088
01/24/20,1,1.9128,1.7187,1.1861,1.3088
01/23/20,1,1.9112,1.7277,1.1835,1.3126
01/22/20,1,1.9165,1.7129,1.1842,1.313
01/21/20,1,1.9025,1.7067,1.1761,1.3072
01/20/20,1,1.8943,1.6989,1.1727,1.2999
01/19/20,1,1.8944,1.7035,1.175,1.3052
01/18/20,1,1.8944,1.7035,1.175,1.3052
01/17/20,1,1.8944,1.7035,1.175,1.3052
01/16/20,1,1.8855,1.7034,1.17,1.3068
01/15/20,1,1.8893,1.6999,1.1671,1.3004
01/14/20,1,1.8816,1.6968,1.168,1.2982
01/13/20,1,1.8793,1.6924,1.166,1.2973
01/12/20,1,1.9021,1.7095,1.1791,1.3077
01/11/20,1,1.9021,1.7095,1.1791,1.3077
01/10/20,1,1.9021,1.7095,1.1791,1.3077
01/09/20,1,1.8987,1.7008,1.1725,1.3027
01/08/20,1,1.9083,1.705,1.1783,1.3097
01/07/20,1,1.9078,1.7046,1.1739,1.3115
01/06/20,1,1.8916,1.7045,1.1735,1.3136
01/05/20,1,1.8835,1.7002,1.1749,1.3096
01/04/20,1,1.8835,1.7002,1.1749,1.3096
01/03/20,1,1.8835,1.7002,1.1749,1.3096
01/02/20,1,1.8869,1.7151,1.1789,1.3195
01/01/20,1,1.88,1.7158,1.1754,1.3204
12/31/19,1,1.88,1.7158,1.1754,1.3204
12/30/19,1,1.8768,1.7159,1.1736,1.3131
12/29/19,1,1.879,1.7141,1.1747,1.3101
12/28/19,1,1.879,1.7141,1.1747,1.3101
12/27/19,1,1.879,1.7141,1.1747,1.3101
12/26/19,1,1.8728,1.7048,1.1691,1.2954
12/25/19,1,1.8728,1.7048,1.1691,1.2954
12/24/19,1,1.8728,1.7048,1.1691,1.2954
12/23/19,1,1.8677,1.7008,1.1668,1.2922
12/22/19,1,1.8897,1.7125,1.1746,1.3035
12/21/19,1,1.8897,1.7125,1.1746,1.3035
12/20/19,1,1.8897,1.7125,1.1746,1.3035
12/19/19,1,1.9028,1.7148,1.1755,1.3068
12/18/19,1,1.9078,1.7194,1.1757,1.3068
12/17/19,1,1.9226,1.7334,1.18,1.3171
12/16/19,1,1.9393,1.7528,1.1988,1.3362
12/15/19,1,1.935,1.7617,1.1975,1.3381
12/14/19,1,1.935,1.7617,1.1975,1.3381
12/13/19,1,1.935,1.7617,1.1975,1.3381
12/12/19,1,1.9117,1.7356,1.1826,1.3171
12/11/19,1,1.9223,1.7403,1.187,1.3146
12/10/19,1,1.9358,1.7444,1.1894,1.3175
12/09/19,1,1.9274,1.743,1.1877,1.3154
12/08/19,1,1.917,1.7309,1.1841,1.3136
12/07/19,1,1.917,1.7309,1.1841,1.3136
12/06/19,1,1.917,1.7309,1.1841,1.3136
12/05/19,1,1.9239,1.7296,1.1839,1.3134
12/04/19,1,1.915,1.7382,1.1819,1.3097
12/03/19,1,1.8998,1.7309,1.1737,1.2994
12/02/19,1,1.9057,1.7198,1.1735,1.2935
12/01/19,1,1.9041,1.7148,1.1734,1.2886
11/30/19,1,1.9041,1.7148,1.1734,1.2886
11/29/19,1,1.9041,1.7148,1.1734,1.2886
11/28/19,1,1.9081,1.717,1.174,1.292
11/27/19,1,1.8982,1.7092,1.1703,1.2884
11/26/19,1,1.8959,1.7107,1.1667,1.2857
11/25/19,1,1.8981,1.7129,1.1694,1.2873
11/24/19,1,1.8943,1.7073,1.1631,1.2861
11/23/19,1,1.8943,1.7073,1.1631,1.2861
11/22/19,1,1.8943,1.7073,1.1631,1.2861
11/21/19,1,1.9033,1.7252,1.1689,1.2965
11/20/19,1,1.8931,1.7163,1.1667,1.2902
11/19/19,1,1.8971,1.71,1.1686,1.2945
11/18/19,1,1.9034,1.7136,1.1719,1.2963
11/17/19,1,1.8936,1.7053,1.1674,1.2881
11/16/19,1,1.8936,1.7053,1.1674,1.2881
11/15/19,1,1.8936,1.7053,1.1674,1.2881
11/14/19,1,1.8931,1.7033,1.1676,1.2841
11/13/19,1,1.8805,1.7015,1.166,1.2833
11/12/19,1,1.8745,1.6998,1.1652,1.2835
11/11/19,1,1.8783,1.7036,1.1663,1.2877
11/10/19,1,1.8646,1.69,1.1607,1.2807
11/09/19,1,1.8646,1.69,1.1607,1.2807
11/08/19,1,1.8646,1.69,1.1607,1.2807
11/07/19,1,1.8578,1.6873,1.1568,1.2814
11/06/19,1,1.8679,1.6969,1.1623,1.289
11/05/19,1,1.8672,1.6936,1.1613,1.29
11/04/19,1,1.8708,1.6997,1.1578,1.2919
11/03/19,1,1.8778,1.7071,1.1627,1.2951
11/02/19,1,1.8778,1.7071,1.1627,1.2951
11/01/19,1,1.8778,1.7071,1.1627,1.2951
10/31/19,1,1.8735,1.7035,1.161,1.295
10/30/19,1,1.8792,1.6861,1.1601,1.2884
10/29/19,1,1.8749,1.678,1.1584,1.2852
10/28/19,1,1.8818,1.6781,1.1584,1.2843
10/27/19,1,1.8788,1.6757,1.1548,1.2826
10/26/19,1,1.8788,1.6757,1.1548,1.2826
10/25/19,1,1.8788,1.6757,1.1548,1.2826
10/24/19,1,1.8859,1.6856,1.1589,1.2896
10/23/19,1,1.8808,1.6848,1.1573,1.2873
10/22/19,1,1.8866,1.6942,1.1619,1.2932
10/21/19,1,1.8899,1.7041,1.1637,1.3002
10/20/19,1,1.8833,1.6936,1.1569,1.2893
10/19/19,1,1.8833,1.6936,1.1569,1.2893
10/18/19,1,1.8833,1.6936,1.1569,1.2893
10/17/19,1,1.8763,1.6863,1.1515,1.2797
10/16/19,1,1.8939,1.6824,1.1553,1.2737
10/15/19,1,1.8715,1.6727,1.1487,1.2643
10/14/19,1,1.8555,1.6567,1.1366,1.2538
10/13/19,1,1.8563,1.6773,1.1426,1.2618
10/12/19,1,1.8563,1.6773,1.1426,1.2618
10/11/19,1,1.8563,1.6773,1.1426,1.2618
10/10/19,1,1.8088,1.6281,1.1092,1.2234
10/09/19,1,1.8121,1.6257,1.113,1.2221
10/08/19,1,1.8137,1.6285,1.1136,1.2235
10/07/19,1,1.8301,1.6413,1.1216,1.233
10/06/19,1,1.8246,1.641,1.123,1.233
10/05/19,1,1.8246,1.641,1.123,1.233
10/04/19,1,1.8246,1.641,1.123,1.233
