Date,USD,AUD,CAD,EUR,GBP
11/29/20,1,1.3573,1.2999,0.8388,0.7502
11/28/20,1,1.3573,1.2999,0.8388,0.7502
11/27/20,1,1.3573,1.2999,0.8388,0.7502
11/26/20,1,1.3582,1.3002,0.8403,0.749
11/25/20,1,1.3616,1.3018,0.841,0.7496
11/24/20,1,1.3633,1.3067,0.8428,0.7502
11/23/20,1,1.364,1.3049,0.8403,0.7469
11/22/20,1,1.3679,1.3052,0.843,0.7535
11/21/20,1,1.3679,1.3052,0.843,0.7535
11/20/20,1,1.3679,1.3052,0.843,0.7535
11/19/20,1,1.3753,1.3101,0.8452,0.7554
11/18/20,1,1.3672,1.3072,0.8426,0.7531
11/17/20,1,1.3664,1.3095,0.8416,0.754
11/16/20,1,1.3716,1.3082,0.8453,0.7592
11/15/20,1,1.3796,1.3143,0.8464,0.7591
11/14/20,1,1.3796,1.3143,0.8464,0.7591
11/13/20,1,1.3796,1.3143,0.8464,0.7591
11/12/20,1,1.3793,1.3097,0.8481,0.7613
11/11/20,1,1.3745,1.3058,0.8499,0.7559
11/10/20,1,1.3751,1.3036,0.8469,0.7553
11/09/20,1,1.3662,1.295,0.8415,0.7593
11/08/20,1,1.3782,1.3079,0.8425,0.7618
11/07/20,1,1.3782,1.3079,0.8425,0.7618
11/06/20,1,1.3782,1.3079,0.8425,0.7618
11/05/20,1,1.3797,1.3056,0.8435,0.763
11/04/20,1,1.3946,1.3148,0.8532,0.7675
11/03/20,1,1.402,1.3147,0.8546,0.7695
11/02/20,1,1.4189,1.3273,0.8582,0.7729
11/01/20,1,1.4159,1.3298,0.8548,0.7711
10/31/20,1,1.4159,1.3298,0.8548,0.7711
10/30/20,1,1.4159,1.3298,0.8548,0.7711
10/29/20,1,1.4246,1.3378,0.8544,0.7726
10/28/20,1,1.4158,1.3284,0.8527,0.7731
10/27/20,1,1.4017,1.3175,0.8452,0.7667
10/26/20,1,1.4038,1.3182,0.8461,0.7679
10/25/20,1,1.3983,1.3127,0.8435,0.7648
10/24/20,1,1.3983,1.3127,0.8435,0.7648
10/23/20,1,1.3983,1.3127,0.8435,0.7648
10/22/20,1,1.408,1.3162,0.846,0.7637
10/21/20,1,1.4118,1.3126,0.8437,0.7657
10/20/20,1,1.4226,1.319,0.8467,0.7733
10/19/20,1,1.4064,1.3172,0.8485,0.7687
10/18/20,1,1.41,1.3199,0.8517,0.7743
10/17/20,1,1.41,1.3199,0.8517,0.7743
10/16/20,1,1.41,1.3199,0.8517,0.7743
10/15/20,1,1.4151,1.321,0.8548,0.7739
10/14/20,1,1.3939,1.3134,0.8511,0.7693
10/13/20,1,1.3916,1.3108,0.8484,0.7686
10/12/20,1,1.3863,1.3131,0.8475,0.7678
10/11/20,1,1.3908,1.3177,0.8478,0.7729
10/10/20,1,1.3908,1.3177,0.8478,0.7729
10/09/20,1,1.3908,1.3177,0.8478,0.7729
10/08/20,1,1.3958,1.3245,0.85,0.7738
10/07/20,1,1.4019,1.3288,0.8496,0.7767
10/06/20,1,1.3965,1.3251,0.8478,0.772
10/05/20,1,1.3918,1.3268,0.8498,0.7717
10/04/20,1,1.3957,1.3302,0.8525,0.773
10/03/20,1,1.3957,1.3302,0.8525,0.773
10/02/20,1,1.3957,1.3302,0.8525,0.773
10/01/20,1,1.3886,1.3288,0.8509,0.772
09/30/20,1,1.404,1.3389,0.8541,0.7793
09/29/20,1,1.4025,1.3378,0.8546,0.7773
09/28/20,1,1.415,1.3385,0.8569,0.7756
09/27/20,1,1.4224,1.3375,0.8595,0.7851
09/26/20,1,1.4224,1.3375,0.8595,0.7851
09/25/20,1,1.4224,1.3375,0.8595,0.7851
09/24/20,1,1.4203,1.3396,0.8587,0.7834
09/23/20,1,1.406,1.3337,0.8553,0.7859
09/22/20,1,1.3874,1.3314,0.8518,0.7815
09/21/20,1,1.3778,1.3238,0.8484,0.7772
09/20/20,1,1.3726,1.3184,0.8451,0.7717
09/19/20,1,1.3726,1.3184,0.8451,0.7717
09/18/20,1,1.3726,1.3184,0.8451,0.7717
09/17/20,1,1.3692,1.3196,0.8477,0.7759
09/16/20,1,1.3627,1.3167,0.8425,0.7703
09/15/20,1,1.3639,1.3147,0.8409,0.7744
09/14/20,1,1.3748,1.317,0.842,0.7763
09/13/20,1,1.3703,1.3179,0.8436,0.7796
09/12/20,1,1.3703,1.3179,0.8436,0.7796
09/11/20,1,1.3703,1.3179,0.8436,0.7796
09/10/20,1,1.3741,1.3154,0.844,0.773
09/09/20,1,1.3815,1.3219,0.8494,0.7748
09/08/20,1,1.3819,1.3172,0.8485,0.7675
09/07/20,1,1.3728,1.3095,0.8457,0.7598
09/06/20,1,1.3757,1.3096,0.8445,0.7543
09/05/20,1,1.3757,1.3096,0.8445,0.7543
09/04/20,1,1.3757,1.3096,0.8445,0.7543
09/03/20,1,1.373,1.3114,0.8465,0.7546
09/02/20,1,1.3634,1.3064,0.8431,0.749
09/01/20,1,1.355,1.3014,0.8342,0.7423
08/31/20,1,1.358,1.3066,0.8375,0.7505
08/30/20,1,1.361,1.3053,0.8393,0.7509
08/29/20,1,1.361,1.3053,0.8393,0.7509
08/28/20,1,1.361,1.3053,0.8393,0.7509
08/27/20,1,1.3799,1.3147,0.847,0.7581
08/26/20,1,1.3887,1.3184,0.8482,0.7608
08/25/20,1,1.3943,1.3202,0.8465,0.7613
08/24/20,1,1.3889,1.3146,0.8441,0.7612
08/23/20,1,1.3971,1.3224,0.8497,0.7626
08/22/20,1,1.3971,1.3224,0.8497,0.7626
08/21/20,1,1.3971,1.3224,0.8497,0.7626
08/20/20,1,1.3961,1.321,0.8439,0.761
08/19/20,1,1.3767,1.3147,0.838,0.7571
08/18/20,1,1.3814,1.3163,0.8399,0.7591
08/17/20,1,1.3908,1.3232,0.8437,0.7646
08/16/20,1,1.3989,1.3247,0.8465,0.7633
08/15/20,1,1.3989,1.3247,0.8465,0.7633
08/14/20,1,1.3989,1.3247,0.8465,0.7633
08/13/20,1,1.3963,1.3215,0.8451,0.7637
08/12/20,1,1.4029,1.329,0.8495,0.7686
08/11/20,1,1.3923,1.3287,0.8487,0.7625
08/10/20,1,1.398,1.338,0.8501,0.7664
08/09/20,1,1.3881,1.3345,0.8462,0.7648
08/08/20,1,1.3881,1.3345,0.8462,0.7648
08/07/20,1,1.3881,1.3345,0.8462,0.7648
08/06/20,1,1.3926,1.3297,0.8444,0.7602
08/05/20,1,1.3848,1.3247,0.8436,0.7615
08/04/20,1,1.402,1.3407,0.85,0.7678
08/03/20,1,1.4078,1.3436,0.8528,0.7676
08/02/20,1,1.3916,1.3418,0.844,0.7601
08/01/20,1,1.3916,1.3418,0.844,0.7601
07/31/20,1,1.3916,1.3418,0.844,0.7601
07/30/20,1,1.4005,1.343,0.8516,0.7687
07/29/20,1,1.3943,1.336,0.8529,0.7709
07/28/20,1,1.4007,1.3393,0.8535,0.7764
07/27/20,1,1.4007,1.3375,0.8503,0.7767
07/26/20,1,1.4108,1.342,0.8615,0.7838
07/25/20,1,1.4108,1.342,0.8615,0.7838
07/24/20,1,1.4108,1.342,0.8615,0.7838
07/23/20,1,1.4043,1.3386,0.8644,0.7883
07/22/20,1,1.3939,1.3422,0.8637,0.787
07/21/20,1,1.4117,1.3457,0.8739,0.787
07/20/20,1,1.429,1.3567,0.8735,0.7912
07/19/20,1,1.4316,1.3572,0.875,0.797
07/18/20,1,1.4316,1.3572,0.875,0.797
07/17/20,1,1.4316,1.3572,0.875,0.797
07/16/20,1,1.4314,1.3538,0.8761,0.7962
07/15/20,1,1.4237,1.3568,0.8738,0.7912
07/14/20,1,1.4372,1.3616,0.8791,0.798
07/13/20,1,1.4342,1.3563,0.8827,0.7939
07/12/20,1,1.4408,1.3601,0.8868,0.7943
07/11/20,1,1.4408,1.3601,0.8868,0.7943
07/10/20,1,1.4408,1.3601,0.8868,0.7943
07/09/20,1,1.4318,1.3502,0.8817,0.7905
07/08/20,1,1.4391,1.359,0.8861,0.7968
07/07/20,1,1.4403,1.3567,0.8857,0.7985
07/06/20,1,1.4331,1.3539,0.883,0.7992
07/05/20,1,1.4411,1.3572,0.8909,0.8029
07/04/20,1,1.4411,1.3572,0.8909,0.8029
07/03/20,1,1.4411,1.3572,0.8909,0.8029
07/02/20,1,1.4439,1.3595,0.8861,0.7994
07/01/20,1,1.4525,1.3587,0.8929,0.8074
06/30/20,1,1.4595,1.3685,0.893,0.8148
06/29/20,1,1.4539,1.3656,0.8862,0.8112
06/28/20,1,1.4548,1.3661,0.8918,0.8078
06/27/20,1,1.4548,1.3661,0.8918,0.8078
06/26/20,1,1.4548,1.3661,0.8918,0.8078
06/25/20,1,1.4572,1.3645,0.8929,0.8048
06/24/20,1,1.4488,1.3591,0.8865,0.8009
06/23/20,1,1.4377,1.3491,0.8835,0.8008
06/22/20,1,1.453,1.3565,0.8918,0.8056
06/21/20,1,1.4506,1.3567,0.8921,0.8074
06/20/20,1,1.4506,1.3567,0.8921,0.8074
06/19/20,1,1.4506,1.3567,0.8921,0.8074
06/18/20,1,1.4575,1.3561,0.8911,0.8022
06/17/20,1,1.4505,1.3536,0.8903,0.7964
06/16/20,1,1.4436,1.3548,0.8843,0.7903
06/15/20,1,1.4641,1.3634,0.8887,0.7967
06/14/20,1,1.455,1.3577,0.8846,0.7931
06/13/20,1,1.455,1.3577,0.8846,0.7931
06/12/20,1,1.455,1.3577,0.8846,0.7931
06/11/20,1,1.447,1.3501,0.8812,0.7901
06/10/20,1,1.4259,1.3387,0.8791,0.7821
06/09/20,1,1.4403,1.3447,0.8854,0.7891
06/08/20,1,1.4316,1.3404,0.8861,0.7902
06/07/20,1,1.4322,1.3448,0.8826,0.7895
06/06/20,1,1.4322,1.3448,0.8826,0.7895
06/05/20,1,1.4322,1.3448,0.8826,0.7895
06/04/20,1,1.4468,1.3514,0.8889,0.7972
06/03/20,1,1.4544,1.3555,0.8933,0.7956
06/02/20,1,1.4596,1.3519,0.8949,0.7972
06/01/20,1,1.4833,1.3699,0.8996,0.8067
05/31/20,1,1.4979,1.3721,0.898,0.809
05/30/20,1,1.4979,1.3721,0.898,0.809
05/29/20,1,1.4979,1.3721,0.898,0.809
05/28/20,1,1.5091,1.3757,0.9078,0.8145
05/27/20,1,1.5071,1.3762,0.9098,0.8152
05/26/20,1,1.507,1.3835,0.9112,0.8098
05/25/20,1,1.5287,1.3988,0.9166,0.8205
05/24/20,1,1.531,1.4007,0.9171,0.8214
05/23/20,1,1.531,1.4007,0.9171,0.8214
05/22/20,1,1.531,1.4007,0.9171,0.8214
05/21/20,1,1.5191,1.3918,0.9091,0.8177
05/20/20,1,1.5197,1.3881,0.9126,0.8155
05/19/20,1,1.5298,1.3928,0.9132,0.8177
05/18/20,1,1.5451,1.4034,0.9232,0.8231
05/17/20,1,1.5563,1.4105,0.9261,0.8218
05/16/20,1,1.5563,1.4105,0.9261,0.8218
05/15/20,1,1.5563,1.4105,0.9261,0.8218
05/14/20,1,1.5572,1.4107,0.9266,0.82
05/13/20,1,1.5344,1.4017,0.9195,0.8114
05/12/20,1,1.5311,1.3979,0.921,0.8084
05/11/20,1,1.5437,1.3984,0.9239,0.8119
05/10/20,1,1.5321,1.3943,0.9223,0.8073
05/09/20,1,1.5321,1.3943,0.9223,0.8073
05/08/20,1,1.5321,1.3943,0.9223,0.8073
05/07/20,1,1.5491,1.4075,0.9274,0.8113
05/06/20,1,1.5773,1.4088,0.9253,0.8074
05/05/20,1,1.5517,1.4019,0.9223,0.8029
05/04/20,1,1.5557,1.4065,0.9139,0.8033
05/03/20,1,1.5261,1.3863,0.9195,0.7991
05/02/20,1,1.5261,1.3863,0.9195,0.7991
05/01/20,1,1.5261,1.3863,0.9195,0.7991
04/30/20,1,1.5261,1.3863,0.9195,0.7991
04/29/20,1,1.5362,1.3954,0.9223,0.8059
04/28/20,1,1.5385,1.3955,0.9194,0.8006
04/27/20,1,1.5476,1.4057,0.9215,0.8041
04/26/20,1,1.5688,1.4049,0.9259,0.8102
04/25/20,1,1.5688,1.4049,0.9259,0.8102
04/24/20,1,1.5688,1.4049,0.9259,0.8102
04/23/20,1,1.5706,1.4135,0.9283,0.8095
04/22/20,1,1.5827,1.4148,0.9202,0.8091
04/21/20,1,1.5932,1.4204,0.9228,0.8131
04/20/20,1,1.5732,1.4111,0.9208,0.8043
04/19/20,1,1.5735,1.407,0.9208,0.8009
04/18/20,1,1.5735,1.407,0.9208,0.8009
04/17/20,1,1.5735,1.407,0.9208,0.8009
04/16/20,1,1.5858,1.4106,0.9184,0.8005
04/15/20,1,1.5866,1.406,0.9172,0.8015
04/14/20,1,1.5633,1.3917,0.9122,0.7959
04/13/20,1,1.6052,1.4047,0.9202,0.8058
04/12/20,1,1.6052,1.4047,0.9202,0.8058
04/11/20,1,1.6052,1.4047,0.9202,0.8058
04/10/20,1,1.6052,1.4047,0.9202,0.8058
04/09/20,1,1.6052,1.4047,0.9202,0.8058
04/08/20,1,1.6186,1.4013,0.9199,0.809
04/07/20,1,1.6149,1.4018,0.9187,0.8093
04/06/20,1,1.6486,1.416,0.9267,0.8136
04/05/20,1,1.6694,1.4185,0.9272,0.8146
04/04/20,1,1.6694,1.4185,0.9272,0.8146
04/03/20,1,1.6694,1.4185,0.9272,0.8146
04/02/20,1,1.6477,1.4167,0.9169,0.8045
04/01/20,1,1.6508,1.4266,0.9144,0.8089
03/31/20,1,1.6399,1.4254,0.9127,0.8091
03/30/20,1,1.6332,1.4162,0.9063,0.8057
03/29/20,1,1.6588,1.414,0.911,0.8176
03/28/20,1,1.6588,1.414,0.911,0.8176
03/27/20,1,1.6588,1.414,0.911,0.8176
03/26/20,1,1.6539,1.4084,0.9107,0.8319
03/25/20,1,1.6619,1.4352,0.9236,0.8451
03/24/20,1,1.6891,1.4494,0.9223,0.8494
03/23/20,1,1.7236,1.4384,0.9274,0.8622
03/22/20,1,1.7023,1.425,0.934,0.8502
03/21/20,1,1.7023,1.425,0.934,0.8502
03/20/20,1,1.7023,1.425,0.934,0.8502
03/19/20,1,1.7253,1.4464,0.9258,0.8609
03/18/20,1,1.6982,1.4404,0.9146,0.8431
03/17/20,1,1.6652,1.4125,0.9106,0.827
03/16/20,1,1.6311,1.3928,0.8963,0.8149
03/15/20,1,1.5926,1.3859,0.9006,0.8021
03/14/20,1,1.5926,1.3859,0.9006,0.8021
03/13/20,1,1.5926,1.3859,0.9006,0.8021
03/12/20,1,1.5724,1.3811,0.8897,0.7885
03/11/20,1,1.534,1.3743,0.8821,0.7736
03/10/20,1,1.5256,1.3678,0.878,0.7672
03/09/20,1,1.5127,1.3629,0.8729,0.7628
03/08/20,1,1.5087,1.342,0.8821,0.7689
03/07/20,1,1.5087,1.342,0.8821,0.7689
03/06/20,1,1.5087,1.342,0.8821,0.7689
03/05/20,1,1.5122,1.3427,0.8939,0.7747
03/04/20,1,1.5096,1.3359,0.8989,0.7807
03/03/20,1,1.5212,1.3364,0.8995,0.7827
03/02/20,1,1.5283,1.3358,0.8991,0.7832
03/01/20,1,1.5373,1.3444,0.911,0.7772
02/29/20,1,1.5373,1.3444,0.911,0.7772
02/28/20,1,1.5373,1.3444,0.911,0.7772
02/27/20,1,1.5206,1.3349,0.9121,0.7752
02/26/20,1,1.5232,1.3305,0.9195,0.7738
02/25/20,1,1.5168,1.3287,0.9225,0.7715
02/24/20,1,1.5145,1.3285,0.9244,0.7749
02/23/20,1,1.515,1.3258,0.9258,0.7732
02/22/20,1,1.515,1.3258,0.9258,0.7732
02/21/20,1,1.515,1.3258,0.9258,0.7732
02/20/20,1,1.5101,1.3257,0.9268,0.777
02/19/20,1,1.4946,1.3223,0.9259,0.7699
02/18/20,1,1.4973,1.3263,0.9246,0.7672
02/17/20,1,1.4886,1.3229,0.9229,0.7682
02/16/20,1,1.4897,1.3248,0.9223,0.7675
02/15/20,1,1.4897,1.3248,0.9223,0.7675
02/14/20,1,1.4897,1.3248,0.9223,0.7675
02/13/20,1,1.485,1.3257,0.9202,0.7672
02/12/20,1,1.482,1.3256,0.9163,0.7702
02/11/20,1,1.4916,1.3297,0.9173,0.7736
02/10/20,1,1.4951,1.3314,0.9132,0.7728
02/09/20,1,1.4967,1.3314,0.9117,0.7724
02/08/20,1,1.4967,1.3314,0.9117,0.7724
02/07/20,1,1.4967,1.3314,0.9117,0.7724
02/06/20,1,1.4798,1.3278,0.9088,0.771
02/05/20,1,1.4786,1.3285,0.9072,0.7661
02/04/20,1,1.488,1.3279,0.9051,0.7683
02/03/20,1,1.493,1.3236,0.9037,0.7661
02/02/20,1,1.4924,1.3235,0.9048,0.7616
02/01/20,1,1.4924,1.3235,0.9048,0.7616
01/31/20,1,1.4924,1.3235,0.9048,0.7616
01/30/20,1,1.4881,1.3217,0.9067,0.7633
01/29/20,1,1.4816,1.3177,0.909,0.7688
01/28/20,1,1.4802,1.319,0.9087,0.7688
01/27/20,1,1.4776,1.3187,0.907,0.7652
01/26/20,1,1.4614,1.3132,0.9062,0.7641
01/25/20,1,1.4614,1.3132,0.9062,0.7641
01/24/20,1,1.4614,1.3132,0.9062,0.7641
01/23/20,1,1.456,1.3163,0.9016,0.7619
01/22/20,1,1.4596,1.3046,0.9019,0.7616
01/21/20,1,1.4554,1.3056,0.8997,0.765
01/20/20,1,1.4573,1.3069,0.9021,0.7693
01/19/20,1,1.4514,1.3052,0.9003,0.7662
01/18/20,1,1.4514,1.3052,0.9003,0.7662
01/17/20,1,1.4514,1.3052,0.9003,0.7662
01/16/20,1,1.4428,1.3035,0.8953,0.7652
01/15/20,1,1.4529,1.3072,0.8975,0.769
01/14/20,1,1.4494,1.3071,0.8997,0.7703
01/13/20,1,1.4486,1.3045,0.8988,0.7708
01/12/20,1,1.4545,1.3072,0.9016,0.7647
01/11/20,1,1.4545,1.3072,0.9016,0.7647
01/10/20,1,1.4545,1.3072,0.9016,0.7647
01/09/20,1,1.4575,1.3056,0.9001,0.7676
01/08/20,1,1.457,1.3018,0.8997,0.7635
01/07/20,1,1.4546,1.2997,0.8951,0.7625
01/06/20,1,1.44,1.2976,0.8933,0.7613
01/05/20,1,1.4381,1.2982,0.8971,0.7636
01/04/20,1,1.4381,1.2982,0.8971,0.7636
01/03/20,1,1.4381,1.2982,0.8971,0.7636
01/02/20,1,1.43,1.2998,0.8934,0.7579
01/01/20,1,1.4238,1.2994,0.8902,0.7573
12/31/19,1,1.4238,1.2994,0.8902,0.7573
12/30/19,1,1.4293,1.3067,0.8937,0.7615
12/29/19,1,1.4342,1.3083,0.8966,0.7633
12/28/19,1,1.4342,1.3083,0.8966,0.7633
12/27/19,1,1.4342,1.3083,0.8966,0.7633
12/26/19,1,1.4458,1.3161,0.9025,0.772
12/25/19,1,1.4458,1.3161,0.9025,0.772
12/24/19,1,1.4458,1.3161,0.9025,0.772
12/23/19,1,1.4454,1.3162,0.9029,0.7739
12/22/19,1,1.4498,1.3138,0.9011,0.7672
12/21/19,1,1.4498,1.3138,0.9011,0.7672
12/20/19,1,1.4498,1.3138,0.9011,0.7672
12/19/19,1,1.4561,1.3122,0.8995,0.7653
12/18/19,1,1.4599,1.3157,0.8997,0.7652
12/17/19,1,1.4598,1.3161,0.8959,0.7593
12/16/19,1,1.4514,1.3118,0.8972,0.7484
12/15/19,1,1.4461,1.3166,0.8949,0.7473
12/14/19,1,1.4461,1.3166,0.8949,0.7473
12/13/19,1,1.4461,1.3166,0.8949,0.7473
12/12/19,1,1.4515,1.3178,0.8979,0.7593
12/11/19,1,1.4622,1.3238,0.9029,0.7607
12/10/19,1,1.4693,1.324,0.9028,0.759
12/09/19,1,1.4653,1.3251,0.9029,0.7602
12/08/19,1,1.4593,1.3176,0.9014,0.7612
12/07/19,1,1.4593,1.3176,0.9014,0.7612
12/06/19,1,1.4593,1.3176,0.9014,0.7612
12/05/19,1,1.4648,1.3169,0.9014,0.7614
12/04/19,1,1.4622,1.3272,0.9024,0.7636
12/03/19,1,1.462,1.332,0.9033,0.7696
12/02/19,1,1.4733,1.3296,0.9072,0.7731
12/01/19,1,1.4777,1.3307,0.9106,0.776
11/30/19,1,1.4777,1.3307,0.9106,0.776
11/29/19,1,1.4777,1.3307,0.9106,0.776
11/28/19,1,1.4769,1.3289,0.9087,0.774
11/27/19,1,1.4733,1.3266,0.9083,0.7762
11/26/19,1,1.4747,1.3306,0.9074,0.7778
11/25/19,1,1.4746,1.3307,0.9084,0.7768
11/24/19,1,1.4729,1.3275,0.9043,0.7775
11/23/19,1,1.4729,1.3275,0.9043,0.7775
11/22/19,1,1.4729,1.3275,0.9043,0.7775
11/21/19,1,1.468,1.3307,0.9016,0.7713
11/20/19,1,1.4673,1.3302,0.9042,0.7751
11/19/19,1,1.4656,1.321,0.9028,0.7725
11/18/19,1,1.4684,1.3219,0.9041,0.7714
11/17/19,1,1.4701,1.3239,0.9063,0.7763
11/16/19,1,1.4701,1.3239,0.9063,0.7763
11/15/19,1,1.4701,1.3239,0.9063,0.7763
11/14/19,1,1.4743,1.3265,0.9093,0.7788
11/13/19,1,1.4653,1.3258,0.9086,0.7792
11/12/19,1,1.4605,1.3244,0.9079,0.7791
11/11/19,1,1.4587,1.323,0.9057,0.7766
11/10/19,1,1.456,1.3196,0.9063,0.7808
11/09/19,1,1.456,1.3196,0.9063,0.7808
11/08/19,1,1.456,1.3196,0.9063,0.7808
11/07/19,1,1.4498,1.3167,0.9028,0.7804
11/06/19,1,1.4491,1.3164,0.9017,0.7758
11/05/19,1,1.4474,1.3128,0.9002,0.7752
11/04/19,1,1.4481,1.3156,0.8962,0.774
11/03/19,1,1.45,1.3181,0.8977,0.7721
11/02/19,1,1.45,1.3181,0.8977,0.7721
11/01/19,1,1.45,1.3181,0.8977,0.7721
10/31/19,1,1.4467,1.3155,0.8965,0.7722
10/30/19,1,1.4586,1.3087,0.9004,0.7762
10/29/19,1,1.4589,1.3056,0.9013,0.7781
10/28/19,1,1.4652,1.3067,0.902,0.7786
10/27/19,1,1.4648,1.3065,0.9003,0.7797
10/26/19,1,1.4648,1.3065,0.9003,0.7797
10/25/19,1,1.4648,1.3065,0.9003,0.7797
10/24/19,1,1.4623,1.3071,0.8986,0.7754
10/23/19,1,1.4611,1.3088,0.899,0.7768
10/22/19,1,1.4588,1.3101,0.8985,0.7733
10/21/19,1,1.4535,1.3106,0.895,0.7691
10/20/19,1,1.4607,1.3136,0.8973,0.7756
10/19/19,1,1.4607,1.3136,0.8973,0.7756
10/18/19,1,1.4607,1.3136,0.8973,0.7756
10/17/19,1,1.4662,1.3177,0.8998,0.7814
10/16/19,1,1.487,1.3209,0.907,0.7851
10/15/19,1,1.4802,1.323,0.9085,0.7909
10/14/19,1,1.4799,1.3214,0.9065,0.7976
10/13/19,1,1.4712,1.3293,0.9056,0.7925
10/12/19,1,1.4712,1.3293,0.9056,0.7925
10/11/19,1,1.4712,1.3293,0.9056,0.7925
10/10/19,1,1.4784,1.3307,0.9066,0.8174
10/09/19,1,1.4827,1.3302,0.9107,0.8182
10/08/19,1,1.4824,1.3311,0.9102,0.8174
10/07/19,1,1.4842,1.3311,0.9097,0.811
10/06/19,1,1.4798,1.3309,0.9108,0.811
10/05/19,1,1.4798,1.3309,0.9108,0.811
