Date,EUR,AUD,CAD,GBP,USD
11/07/20,1,1.6359,1.5525,0.9043,1.187
11/06/20,1,1.6359,1.5525,0.9043,1.187
11/05/20,1,1.6356,1.5478,0.9045,1.1855
11/04/20,1,1.6346,1.5411,0.8995,1.1721
11/03/20,1,1.6406,1.5385,0.9004,1.1702
11/02/20,1,1.6533,1.5466,0.9005,1.1652
11/01/20,1,1.6563,1.5556,0.9021,1.1698
10/31/20,1,1.6563,1.5556,0.9021,1.1698
10/30/20,1,1.6563,1.5556,0.9021,1.1698
10/29/20,1,1.6673,1.5658,0.9043,1.1704
10/28/20,1,1.6603,1.5578,0.9066,1.1727
10/27/20,1,1.6585,1.5589,0.9072,1.1832
10/26/20,1,1.6592,1.558,0.9076,1.1819
10/25/20,1,1.6578,1.5563,0.9068,1.1856
10/24/20,1,1.6578,1.5563,0.9068,1.1856
10/23/20,1,1.6578,1.5563,0.9068,1.1856
10/22/20,1,1.6644,1.5559,0.9027,1.1821
10/21/20,1,1.6733,1.5557,0.9075,1.1852
10/20/20,1,1.6801,1.5577,0.9133,1.181
10/19/20,1,1.6575,1.5523,0.9059,1.1785
10/18/20,1,1.6555,1.5497,0.9092,1.1741
10/17/20,1,1.6555,1.5497,0.9092,1.1741
10/16/20,1,1.6555,1.5497,0.9092,1.1741
10/15/20,1,1.6554,1.5453,0.9054,1.1698
10/14/20,1,1.6378,1.5432,0.904,1.175
10/13/20,1,1.6403,1.545,0.9059,1.1787
10/12/20,1,1.6357,1.5493,0.906,1.1799
10/11/20,1,1.6405,1.5542,0.9117,1.1795
10/10/20,1,1.6405,1.5542,0.9117,1.1795
10/09/20,1,1.6405,1.5542,0.9117,1.1795
10/08/20,1,1.6421,1.5583,0.9104,1.1765
10/07/20,1,1.65,1.564,0.9141,1.177
10/06/20,1,1.6472,1.563,0.9106,1.1795
10/05/20,1,1.6379,1.5614,0.9081,1.1768
10/04/20,1,1.6372,1.5603,0.9067,1.173
10/03/20,1,1.6372,1.5603,0.9067,1.173
10/02/20,1,1.6372,1.5603,0.9067,1.173
10/01/20,1,1.6319,1.5616,0.9072,1.1752
09/30/20,1,1.6438,1.5676,0.9124,1.1708
09/29/20,1,1.6412,1.5655,0.9096,1.1702
09/28/20,1,1.6513,1.562,0.9051,1.167
09/27/20,1,1.6548,1.556,0.9134,1.1634
09/26/20,1,1.6548,1.556,0.9134,1.1634
09/25/20,1,1.6548,1.556,0.9134,1.1634
09/24/20,1,1.6539,1.56,0.9123,1.1645
09/23/20,1,1.6439,1.5594,0.9189,1.1692
09/22/20,1,1.6288,1.5631,0.9174,1.174
09/21/20,1,1.624,1.5604,0.9161,1.1787
09/20/20,1,1.6242,1.5601,0.9132,1.1833
09/19/20,1,1.6242,1.5601,0.9132,1.1833
09/18/20,1,1.6242,1.5601,0.9132,1.1833
09/17/20,1,1.6152,1.5567,0.9153,1.1797
09/16/20,1,1.6174,1.5628,0.9142,1.1869
09/15/20,1,1.6219,1.5634,0.921,1.1892
09/14/20,1,1.6327,1.5641,0.9219,1.1876
09/13/20,1,1.6244,1.5622,0.9241,1.1854
09/12/20,1,1.6244,1.5622,0.9241,1.1854
09/11/20,1,1.6244,1.5622,0.9241,1.1854
09/10/20,1,1.6282,1.5586,0.9159,1.1849
09/09/20,1,1.6264,1.5563,0.9121,1.1773
09/08/20,1,1.6286,1.5523,0.9045,1.1785
09/07/20,1,1.6232,1.5484,0.8984,1.1824
09/06/20,1,1.6291,1.5508,0.8933,1.1842
09/05/20,1,1.6291,1.5508,0.8933,1.1842
09/04/20,1,1.6291,1.5508,0.8933,1.1842
09/03/20,1,1.6219,1.5491,0.8914,1.1813
09/02/20,1,1.6171,1.5495,0.8884,1.1861
09/01/20,1,1.6242,1.56,0.8898,1.1987
08/31/20,1,1.6214,1.5601,0.8961,1.194
08/30/20,1,1.6216,1.5553,0.8947,1.1915
08/29/20,1,1.6216,1.5553,0.8947,1.1915
08/28/20,1,1.6216,1.5553,0.8947,1.1915
08/27/20,1,1.6291,1.5521,0.8951,1.1806
08/26/20,1,1.6371,1.5543,0.8969,1.1789
08/25/20,1,1.6472,1.5597,0.8995,1.1814
08/24/20,1,1.6454,1.5574,0.9018,1.1847
08/23/20,1,1.6442,1.5563,0.8976,1.1769
08/22/20,1,1.6442,1.5563,0.8976,1.1769
08/21/20,1,1.6442,1.5563,0.8976,1.1769
08/20/20,1,1.6544,1.5654,0.9017,1.185
08/19/20,1,1.6428,1.5688,0.9035,1.1933
08/18/20,1,1.6447,1.5672,0.9038,1.1906
08/17/20,1,1.6485,1.5684,0.9063,1.1853
08/16/20,1,1.6525,1.5649,0.9017,1.1813
08/15/20,1,1.6525,1.5649,0.9017,1.1813
08/14/20,1,1.6525,1.5649,0.9017,1.1813
08/13/20,1,1.6522,1.5637,0.9037,1.1833
08/12/20,1,1.6514,1.5644,0.9048,1.1771
08/11/20,1,1.6406,1.5656,0.8984,1.1783
08/10/20,1,1.6445,1.5739,0.9016,1.1763
08/09/20,1,1.6403,1.577,0.9037,1.1817
08/08/20,1,1.6403,1.577,0.9037,1.1817
08/07/20,1,1.6403,1.577,0.9037,1.1817
08/06/20,1,1.6492,1.5748,0.9003,1.1843
08/05/20,1,1.6415,1.5703,0.9027,1.1854
08/04/20,1,1.6495,1.5773,0.9034,1.1765
08/03/20,1,1.6508,1.5755,0.9001,1.1726
08/02/20,1,1.6488,1.5898,0.9005,1.1848
08/01/20,1,1.6488,1.5898,0.9005,1.1848
07/31/20,1,1.6488,1.5898,0.9005,1.1848
07/30/20,1,1.6446,1.5771,0.9027,1.1743
07/29/20,1,1.6348,1.5665,0.9039,1.1725
07/28/20,1,1.6412,1.5693,0.9097,1.1717
07/27/20,1,1.6472,1.5729,0.9134,1.176
07/26/20,1,1.6376,1.5578,0.9099,1.1608
07/25/20,1,1.6376,1.5578,0.9099,1.1608
07/24/20,1,1.6376,1.5578,0.9099,1.1608
07/23/20,1,1.6246,1.5486,0.912,1.1569
07/22/20,1,1.6139,1.554,0.9112,1.1578
07/21/20,1,1.6154,1.5399,0.9006,1.1443
07/20/20,1,1.6359,1.5532,0.9058,1.1448
07/19/20,1,1.636,1.551,0.9108,1.1428
07/18/20,1,1.636,1.551,0.9108,1.1428
07/17/20,1,1.636,1.551,0.9108,1.1428
07/16/20,1,1.6338,1.5452,0.9088,1.1414
07/15/20,1,1.6293,1.5527,0.9054,1.1444
07/14/20,1,1.6348,1.5488,0.9078,1.1375
07/13/20,1,1.6248,1.5366,0.8994,1.1329
07/12/20,1,1.6247,1.5336,0.8957,1.1276
07/11/20,1,1.6247,1.5336,0.8957,1.1276
07/10/20,1,1.6247,1.5336,0.8957,1.1276
07/09/20,1,1.6239,1.5314,0.8966,1.1342
07/08/20,1,1.6242,1.5338,0.8992,1.1286
07/07/20,1,1.6261,1.5317,0.9015,1.129
07/06/20,1,1.623,1.5333,0.9051,1.1325
07/05/20,1,1.6175,1.5233,0.9012,1.1224
07/04/20,1,1.6175,1.5233,0.9012,1.1224
07/03/20,1,1.6175,1.5233,0.9012,1.1224
07/02/20,1,1.6296,1.5343,0.9023,1.1286
07/01/20,1,1.6268,1.5217,0.9043,1.12
06/30/20,1,1.6344,1.5324,0.9124,1.1198
06/29/20,1,1.6406,1.5409,0.9154,1.1284
06/28/20,1,1.6313,1.5318,0.9058,1.1213
06/27/20,1,1.6313,1.5318,0.9058,1.1213
06/26/20,1,1.6313,1.5318,0.9058,1.1213
06/25/20,1,1.6321,1.5282,0.9013,1.12
06/24/20,1,1.6342,1.5331,0.9034,1.128
06/23/20,1,1.6272,1.5269,0.9063,1.1318
06/22/20,1,1.6292,1.521,0.9033,1.1213
06/21/20,1,1.6261,1.5209,0.9051,1.121
06/20/20,1,1.6261,1.5209,0.9051,1.121
06/19/20,1,1.6261,1.5209,0.9051,1.121
06/18/20,1,1.6356,1.5218,0.9003,1.1222
06/17/20,1,1.6292,1.5204,0.8945,1.1232
06/16/20,1,1.6324,1.532,0.8937,1.1308
06/15/20,1,1.6476,1.5342,0.8965,1.1253
06/14/20,1,1.6447,1.5347,0.8965,1.1304
06/13/20,1,1.6447,1.5347,0.8965,1.1304
06/12/20,1,1.6447,1.5347,0.8965,1.1304
06/11/20,1,1.6421,1.5321,0.8967,1.1348
06/10/20,1,1.622,1.5228,0.8896,1.1375
06/09/20,1,1.6267,1.5187,0.8912,1.1294
06/08/20,1,1.6156,1.5126,0.8917,1.1285
06/07/20,1,1.6227,1.5237,0.8945,1.133
06/06/20,1,1.6227,1.5237,0.8945,1.133
06/05/20,1,1.6227,1.5237,0.8945,1.133
06/04/20,1,1.6276,1.5203,0.8969,1.125
06/03/20,1,1.628,1.5173,0.8907,1.1194
06/02/20,1,1.631,1.5106,0.8908,1.1174
06/01/20,1,1.6488,1.5228,0.8967,1.1116
05/31/20,1,1.6681,1.528,0.9009,1.1136
05/30/20,1,1.6681,1.528,0.9009,1.1136
05/29/20,1,1.6681,1.528,0.9009,1.1136
05/28/20,1,1.6624,1.5155,0.8973,1.1016
05/27/20,1,1.6565,1.5126,0.896,1.0991
05/26/20,1,1.6539,1.5184,0.8888,1.0975
05/25/20,1,1.6678,1.5261,0.8952,1.091
05/24/20,1,1.6694,1.5273,0.8956,1.0904
05/23/20,1,1.6694,1.5273,0.8956,1.0904
05/22/20,1,1.6694,1.5273,0.8956,1.0904
05/21/20,1,1.671,1.531,0.8994,1.1
05/20/20,1,1.6653,1.5211,0.8936,1.0958
05/19/20,1,1.6751,1.5251,0.8954,1.095
05/18/20,1,1.6736,1.5202,0.8915,1.0832
05/17/20,1,1.6805,1.5231,0.8874,1.0798
05/16/20,1,1.6805,1.5231,0.8874,1.0798
05/15/20,1,1.6805,1.5231,0.8874,1.0798
05/14/20,1,1.6805,1.5224,0.885,1.0792
05/13/20,1,1.6687,1.5243,0.8825,1.0875
05/12/20,1,1.6625,1.5178,0.8777,1.0858
05/11/20,1,1.6709,1.5136,0.8788,1.0824
05/10/20,1,1.6613,1.5118,0.8754,1.0843
05/09/20,1,1.6613,1.5118,0.8754,1.0843
05/08/20,1,1.6613,1.5118,0.8754,1.0843
05/07/20,1,1.6704,1.5177,0.8748,1.0783
05/06/20,1,1.7046,1.5225,0.8725,1.0807
05/05/20,1,1.6825,1.5201,0.8706,1.0843
05/04/20,1,1.7022,1.539,0.879,1.0942
05/03/20,1,1.6598,1.5077,0.8691,1.0876
05/02/20,1,1.6598,1.5077,0.8691,1.0876
05/01/20,1,1.6598,1.5077,0.8691,1.0876
04/30/20,1,1.6598,1.5077,0.8691,1.0876
04/29/20,1,1.6655,1.5129,0.8738,1.0842
04/28/20,1,1.6734,1.5179,0.8708,1.0877
04/27/20,1,1.6795,1.5255,0.8726,1.0852
04/26/20,1,1.6943,1.5173,0.875,1.08
04/25/20,1,1.6943,1.5173,0.875,1.08
04/24/20,1,1.6943,1.5173,0.875,1.08
04/23/20,1,1.6918,1.5226,0.872,1.0772
04/22/20,1,1.7199,1.5375,0.8792,1.0867
04/21/20,1,1.7266,1.5393,0.8812,1.0837
04/20/20,1,1.7085,1.5325,0.8734,1.086
04/19/20,1,1.7088,1.528,0.8698,1.086
04/18/20,1,1.7088,1.528,0.8698,1.086
04/17/20,1,1.7088,1.528,0.8698,1.086
04/16/20,1,1.7266,1.5359,0.8716,1.0888
04/15/20,1,1.7299,1.533,0.8739,1.0903
04/14/20,1,1.7139,1.5257,0.8725,1.0963
04/13/20,1,1.7444,1.5265,0.8757,1.0867
04/12/20,1,1.7444,1.5265,0.8757,1.0867
04/11/20,1,1.7444,1.5265,0.8757,1.0867
04/10/20,1,1.7444,1.5265,0.8757,1.0867
04/09/20,1,1.7444,1.5265,0.8757,1.0867
04/08/20,1,1.7596,1.5233,0.8795,1.0871
04/07/20,1,1.7578,1.5259,0.8809,1.0885
04/06/20,1,1.779,1.528,0.878,1.0791
04/05/20,1,1.8004,1.5299,0.8785,1.0785
04/04/20,1,1.8004,1.5299,0.8785,1.0785
04/03/20,1,1.8004,1.5299,0.8785,1.0785
04/02/20,1,1.797,1.5451,0.8774,1.0906
04/01/20,1,1.8053,1.5601,0.8846,1.0936
03/31/20,1,1.7967,1.5617,0.8864,1.0956
03/30/20,1,1.8021,1.5626,0.889,1.1034
03/29/20,1,1.8209,1.5521,0.8974,1.0977
03/28/20,1,1.8209,1.5521,0.8974,1.0977
03/27/20,1,1.8209,1.5521,0.8974,1.0977
03/26/20,1,1.8162,1.5466,0.9135,1.0981
03/25/20,1,1.7993,1.5539,0.915,1.0827
03/24/20,1,1.8315,1.5716,0.921,1.0843
03/23/20,1,1.8586,1.551,0.9297,1.0783
03/22/20,1,1.8226,1.5257,0.9103,1.0707
03/21/20,1,1.8226,1.5257,0.9103,1.0707
03/20/20,1,1.8226,1.5257,0.9103,1.0707
03/19/20,1,1.8635,1.5623,0.9299,1.0801
03/18/20,1,1.8568,1.5749,0.9219,1.0934
03/17/20,1,1.8287,1.5512,0.9082,1.0982
03/16/20,1,1.8198,1.5539,0.9092,1.1157
03/15/20,1,1.7684,1.5389,0.8907,1.1104
03/14/20,1,1.7684,1.5389,0.8907,1.1104
03/13/20,1,1.7684,1.5389,0.8907,1.1104
03/12/20,1,1.7674,1.5524,0.8862,1.124
03/11/20,1,1.7389,1.5579,0.8769,1.1336
03/10/20,1,1.7377,1.5579,0.8739,1.139
03/09/20,1,1.733,1.5613,0.8738,1.1456
03/08/20,1,1.7103,1.5213,0.8717,1.1336
03/07/20,1,1.7103,1.5213,0.8717,1.1336
03/06/20,1,1.7103,1.5213,0.8717,1.1336
03/05/20,1,1.6917,1.5021,0.8667,1.1187
03/04/20,1,1.6794,1.4862,0.8685,1.1125
03/03/20,1,1.6911,1.4857,0.8701,1.1117
03/02/20,1,1.6998,1.4857,0.8711,1.1122
03/01/20,1,1.6875,1.4757,0.8532,1.0977
02/29/20,1,1.6875,1.4757,0.8532,1.0977
02/28/20,1,1.6875,1.4757,0.8532,1.0977
02/27/20,1,1.6672,1.4636,0.85,1.0964
02/26/20,1,1.6565,1.4469,0.8415,1.0875
02/25/20,1,1.6442,1.4403,0.8363,1.084
02/24/20,1,1.6384,1.4372,0.8383,1.0818
02/23/20,1,1.6363,1.432,0.8351,1.0801
02/22/20,1,1.6363,1.432,0.8351,1.0801
02/21/20,1,1.6363,1.432,0.8351,1.0801
02/20/20,1,1.6294,1.4304,0.8384,1.079
02/19/20,1,1.6142,1.4281,0.8315,1.08
02/18/20,1,1.6195,1.4345,0.8299,1.0816
02/17/20,1,1.6129,1.4334,0.8324,1.0835
02/16/20,1,1.6151,1.4363,0.8321,1.0842
02/15/20,1,1.6151,1.4363,0.8321,1.0842
02/14/20,1,1.6151,1.4363,0.8321,1.0842
02/13/20,1,1.6138,1.4406,0.8338,1.0867
02/12/20,1,1.6175,1.4468,0.8406,1.0914
02/11/20,1,1.626,1.4495,0.8433,1.0901
02/10/20,1,1.6373,1.458,0.8463,1.0951
02/09/20,1,1.6417,1.4604,0.8472,1.0969
02/08/20,1,1.6417,1.4604,0.8472,1.0969
02/07/20,1,1.6417,1.4604,0.8472,1.0969
02/06/20,1,1.6282,1.461,0.8484,1.1003
02/05/20,1,1.6299,1.4644,0.8444,1.1023
02/04/20,1,1.6439,1.4671,0.8488,1.1048
02/03/20,1,1.6521,1.4647,0.8478,1.1066
02/02/20,1,1.6494,1.4627,0.8418,1.1052
02/01/20,1,1.6494,1.4627,0.8418,1.1052
01/31/20,1,1.6494,1.4627,0.8418,1.1052
01/30/20,1,1.6412,1.4577,0.8418,1.1029
01/29/20,1,1.6299,1.4496,0.8458,1.1001
01/28/20,1,1.629,1.4516,0.846,1.1005
01/27/20,1,1.6291,1.4539,0.8436,1.1025
01/26/20,1,1.6127,1.4491,0.8431,1.1035
01/25/20,1,1.6127,1.4491,0.8431,1.1035
01/24/20,1,1.6127,1.4491,0.8431,1.1035
01/23/20,1,1.6149,1.4599,0.845,1.1091
01/22/20,1,1.6184,1.4465,0.8445,1.1088
01/21/20,1,1.6177,1.4512,0.8503,1.1115
01/20/20,1,1.6154,1.4487,0.8528,1.1085
01/19/20,1,1.6122,1.4498,0.8511,1.1108
01/18/20,1,1.6122,1.4498,0.8511,1.1108
01/17/20,1,1.6122,1.4498,0.8511,1.1108
01/16/20,1,1.6115,1.4559,0.8547,1.1169
01/15/20,1,1.6188,1.4565,0.8568,1.1142
01/14/20,1,1.611,1.4528,0.8562,1.1115
01/13/20,1,1.6117,1.4514,0.8576,1.1126
01/12/20,1,1.6132,1.4498,0.8481,1.1091
01/11/20,1,1.6132,1.4498,0.8481,1.1091
01/10/20,1,1.6132,1.4498,0.8481,1.1091
01/09/20,1,1.6193,1.4505,0.8529,1.111
01/08/20,1,1.6195,1.447,0.8487,1.1115
01/07/20,1,1.6251,1.452,0.8518,1.1172
01/06/20,1,1.6119,1.4525,0.8522,1.1194
01/05/20,1,1.6031,1.4471,0.8512,1.1147
01/04/20,1,1.6031,1.4471,0.8512,1.1147
01/03/20,1,1.6031,1.4471,0.8512,1.1147
01/02/20,1,1.6006,1.4549,0.8483,1.1193
01/01/20,1,1.5995,1.4598,0.8508,1.1234
12/31/19,1,1.5995,1.4598,0.8508,1.1234
12/30/19,1,1.5992,1.4621,0.8521,1.1189
12/29/19,1,1.5996,1.4592,0.8513,1.1153
12/28/19,1,1.5996,1.4592,0.8513,1.1153
12/27/19,1,1.5996,1.4592,0.8513,1.1153
12/26/19,1,1.6019,1.4582,0.8553,1.108
12/25/19,1,1.6019,1.4582,0.8553,1.108
12/24/19,1,1.6019,1.4582,0.8553,1.108
12/23/19,1,1.6008,1.4577,0.8571,1.1075
12/22/19,1,1.6088,1.4579,0.8513,1.1097
12/21/19,1,1.6088,1.4579,0.8513,1.1097
12/20/19,1,1.6088,1.4579,0.8513,1.1097
12/19/19,1,1.6188,1.4588,0.8507,1.1117
12/18/19,1,1.6227,1.4624,0.8506,1.1115
12/17/19,1,1.6294,1.469,0.8475,1.1162
12/16/19,1,1.6177,1.4621,0.8342,1.1146
12/15/19,1,1.6159,1.4712,0.8351,1.1174
12/14/19,1,1.6159,1.4712,0.8351,1.1174
12/13/19,1,1.6159,1.4712,0.8351,1.1174
12/12/19,1,1.6165,1.4676,0.8456,1.1137
12/11/19,1,1.6194,1.4661,0.8425,1.1075
12/10/19,1,1.6275,1.4666,0.8407,1.1077
12/09/19,1,1.6228,1.4675,0.842,1.1075
12/08/19,1,1.619,1.4618,0.8445,1.1094
12/07/19,1,1.619,1.4618,0.8445,1.1094
12/06/19,1,1.619,1.4618,0.8445,1.1094
12/05/19,1,1.6251,1.461,0.8447,1.1094
12/04/19,1,1.6203,1.4707,0.8461,1.1081
12/03/19,1,1.6186,1.4747,0.852,1.1071
12/02/19,1,1.624,1.4656,0.8522,1.1023
12/01/19,1,1.6228,1.4614,0.8523,1.0982
11/30/19,1,1.6228,1.4614,0.8523,1.0982
11/29/19,1,1.6228,1.4614,0.8523,1.0982
11/28/19,1,1.6253,1.4625,0.8518,1.1005
11/27/19,1,1.622,1.4605,0.8545,1.1009
11/26/19,1,1.6251,1.4663,0.8572,1.102
11/25/19,1,1.6232,1.4648,0.8552,1.1008
11/24/19,1,1.6287,1.4679,0.8598,1.1058
11/23/19,1,1.6287,1.4679,0.8598,1.1058
11/22/19,1,1.6287,1.4679,0.8598,1.1058
11/21/19,1,1.6282,1.4759,0.8555,1.1091
11/20/19,1,1.6227,1.4711,0.8572,1.1059
11/19/19,1,1.6234,1.4633,0.8557,1.1077
11/18/19,1,1.6242,1.4622,0.8533,1.1061
11/17/19,1,1.6221,1.4608,0.8566,1.1034
11/16/19,1,1.6221,1.4608,0.8566,1.1034
11/15/19,1,1.6221,1.4608,0.8566,1.1034
11/14/19,1,1.6213,1.4588,0.8564,1.0997
11/13/19,1,1.6127,1.4592,0.8576,1.1006
11/12/19,1,1.6087,1.4588,0.8582,1.1015
11/11/19,1,1.6105,1.4607,0.8574,1.1041
11/10/19,1,1.6065,1.4561,0.8616,1.1034
11/09/19,1,1.6065,1.4561,0.8616,1.1034
11/08/19,1,1.6065,1.4561,0.8616,1.1034
11/07/19,1,1.6059,1.4585,0.8644,1.1077
11/06/19,1,1.607,1.4599,0.8603,1.109
11/05/19,1,1.6079,1.4584,0.8611,1.1109
11/04/19,1,1.6158,1.468,0.8637,1.1158
11/03/19,1,1.6151,1.4682,0.8601,1.1139
11/02/19,1,1.6151,1.4682,0.8601,1.1139
11/01/19,1,1.6151,1.4682,0.8601,1.1139
10/31/19,1,1.6137,1.4673,0.8613,1.1154
10/30/19,1,1.6199,1.4534,0.862,1.1106
10/29/19,1,1.6186,1.4486,0.8633,1.1095
10/28/19,1,1.6245,1.4487,0.8633,1.1087
10/27/19,1,1.627,1.4511,0.866,1.1107
10/26/19,1,1.627,1.4511,0.866,1.1107
10/25/19,1,1.627,1.4511,0.866,1.1107
10/24/19,1,1.6273,1.4545,0.8629,1.1128
10/23/19,1,1.6252,1.4558,0.8641,1.1123
10/22/19,1,1.6237,1.4581,0.8607,1.113
10/21/19,1,1.624,1.4643,0.8593,1.1173
10/20/19,1,1.6278,1.4639,0.8644,1.1144
10/19/19,1,1.6278,1.4639,0.8644,1.1144
10/18/19,1,1.6278,1.4639,0.8644,1.1144
10/17/19,1,1.6294,1.4644,0.8684,1.1113
10/16/19,1,1.6394,1.4563,0.8656,1.1025
10/15/19,1,1.6293,1.4562,0.8706,1.1007
10/14/19,1,1.6325,1.4576,0.8798,1.1031
10/13/19,1,1.6246,1.4679,0.8752,1.1043
10/12/19,1,1.6246,1.4679,0.8752,1.1043
10/11/19,1,1.6246,1.4679,0.8752,1.1043
10/10/19,1,1.6307,1.4678,0.9016,1.103
10/09/19,1,1.6282,1.4607,0.8985,1.0981
10/08/19,1,1.6286,1.4623,0.898,1.0986
10/07/19,1,1.6316,1.4633,0.8916,1.0993
10/06/19,1,1.6247,1.4612,0.8905,1.0979
10/05/19,1,1.6247,1.4612,0.8905,1.0979
