Date,CAD,AUD,EUR,GBP,USD
01/04/21,1,1.0197,0.6402,0.5772,0.7871
01/03/21,1,1.0168,0.6397,0.5751,0.7849
01/02/21,1,1.0168,0.6397,0.5751,0.7849
01/01/21,1,1.0168,0.6397,0.5751,0.7849
12/31/20,1,1.0168,0.6397,0.5751,0.7849
12/30/20,1,1.0206,0.6369,0.5752,0.7822
12/29/20,1,1.026,0.6364,0.5783,0.7802
12/28/20,1,1.0259,0.6379,0.5767,0.7794
12/27/20,1,1.0245,0.6387,0.5736,0.7788
12/26/20,1,1.0245,0.6387,0.5736,0.7788
12/25/20,1,1.0245,0.6387,0.5736,0.7788
12/24/20,1,1.0245,0.6387,0.5736,0.7788
12/23/20,1,1.0285,0.6381,0.5788,0.7763
12/22/20,1,1.0278,0.6348,0.5786,0.7769
12/21/20,1,1.0328,0.6375,0.584,0.776
12/20/20,1,1.03,0.6395,0.5808,0.7839
12/19/20,1,1.03,0.6395,0.5808,0.7839
12/18/20,1,1.03,0.6395,0.5808,0.7839
12/17/20,1,1.0325,0.6433,0.5792,0.7877
12/16/20,1,1.0355,0.643,0.5784,0.7838
12/15/20,1,1.0414,0.6463,0.5868,0.7846
12/14/20,1,1.038,0.6462,0.5861,0.7859
12/13/20,1,1.0389,0.6457,0.5959,0.783
12/12/20,1,1.0389,0.6457,0.5959,0.783
12/11/20,1,1.0389,0.6457,0.5959,0.783
12/10/20,1,1.0456,0.647,0.5894,0.7838
12/09/20,1,1.0461,0.6463,0.5817,0.7826
12/08/20,1,1.0533,0.6448,0.5877,0.7811
12/07/20,1,1.0539,0.6436,0.5871,0.7806
12/06/20,1,1.0482,0.6397,0.5775,0.7778
12/05/20,1,1.0482,0.6397,0.5775,0.7778
12/04/20,1,1.0482,0.6397,0.5775,0.7778
12/03/20,1,1.0426,0.6373,0.5758,0.7743
12/02/20,1,1.049,0.6402,0.5794,0.7725
12/01/20,1,1.0484,0.6442,0.5785,0.771
11/30/20,1,1.047,0.6445,0.579,0.7721
11/29/20,1,1.0442,0.6453,0.5772,0.7693
11/28/20,1,1.0442,0.6453,0.5772,0.7693
11/27/20,1,1.0442,0.6453,0.5772,0.7693
11/26/20,1,1.0447,0.6463,0.5761,0.7691
11/25/20,1,1.046,0.6461,0.5758,0.7682
11/24/20,1,1.0433,0.645,0.5741,0.7653
11/23/20,1,1.0453,0.6439,0.5724,0.7663
11/22/20,1,1.048,0.6458,0.5773,0.7661
11/21/20,1,1.048,0.6458,0.5773,0.7661
11/20/20,1,1.048,0.6458,0.5773,0.7661
11/19/20,1,1.0497,0.6451,0.5766,0.7633
11/18/20,1,1.0459,0.6446,0.5761,0.765
11/17/20,1,1.0434,0.6427,0.5757,0.7636
11/16/20,1,1.0485,0.6462,0.5804,0.7644
11/15/20,1,1.0497,0.644,0.5776,0.7609
11/14/20,1,1.0497,0.644,0.5776,0.7609
11/13/20,1,1.0497,0.644,0.5776,0.7609
11/12/20,1,1.0531,0.6475,0.5813,0.7635
11/11/20,1,1.0526,0.6509,0.5789,0.7658
11/10/20,1,1.0548,0.6496,0.5794,0.7671
11/09/20,1,1.055,0.6499,0.5863,0.7722
11/08/20,1,1.0537,0.6441,0.5825,0.7646
11/07/20,1,1.0537,0.6441,0.5825,0.7646
11/06/20,1,1.0537,0.6441,0.5825,0.7646
11/05/20,1,1.0567,0.6461,0.5844,0.7659
11/04/20,1,1.0607,0.6489,0.5837,0.7606
11/03/20,1,1.0664,0.65,0.5853,0.7606
11/02/20,1,1.069,0.6466,0.5823,0.7534
11/01/20,1,1.0647,0.6428,0.5799,0.752
10/31/20,1,1.0647,0.6428,0.5799,0.752
10/30/20,1,1.0647,0.6428,0.5799,0.752
10/29/20,1,1.0648,0.6387,0.5775,0.7475
10/28/20,1,1.0658,0.6419,0.582,0.7528
10/27/20,1,1.0639,0.6415,0.5819,0.759
10/26/20,1,1.065,0.6418,0.5825,0.7586
10/25/20,1,1.0652,0.6425,0.5826,0.7618
10/24/20,1,1.0652,0.6425,0.5826,0.7618
10/23/20,1,1.0652,0.6425,0.5826,0.7618
10/22/20,1,1.0697,0.6427,0.5802,0.7598
10/21/20,1,1.0756,0.6428,0.5834,0.7618
10/20/20,1,1.0786,0.642,0.5863,0.7582
10/19/20,1,1.0678,0.6442,0.5836,0.7592
10/18/20,1,1.0683,0.6453,0.5867,0.7576
10/17/20,1,1.0683,0.6453,0.5867,0.7576
10/16/20,1,1.0683,0.6453,0.5867,0.7576
10/15/20,1,1.0712,0.6471,0.5859,0.757
10/14/20,1,1.0613,0.648,0.5858,0.7614
10/13/20,1,1.0617,0.6472,0.5863,0.7629
10/12/20,1,1.0558,0.6455,0.5848,0.7616
10/11/20,1,1.0555,0.6434,0.5866,0.7589
10/10/20,1,1.0555,0.6434,0.5866,0.7589
10/09/20,1,1.0555,0.6434,0.5866,0.7589
10/08/20,1,1.0538,0.6417,0.5842,0.755
10/07/20,1,1.055,0.6394,0.5845,0.7526
10/06/20,1,1.0539,0.6398,0.5826,0.7546
10/05/20,1,1.049,0.6405,0.5816,0.7537
10/04/20,1,1.0493,0.6409,0.5811,0.7518
10/03/20,1,1.0493,0.6409,0.5811,0.7518
10/02/20,1,1.0493,0.6409,0.5811,0.7518
10/01/20,1,1.045,0.6404,0.581,0.7526
09/30/20,1,1.0486,0.6379,0.582,0.7469
09/29/20,1,1.0484,0.6388,0.581,0.7475
09/28/20,1,1.0572,0.6402,0.5794,0.7471
09/27/20,1,1.0635,0.6427,0.587,0.7477
09/26/20,1,1.0635,0.6427,0.587,0.7477
09/25/20,1,1.0635,0.6427,0.587,0.7477
09/24/20,1,1.0602,0.641,0.5848,0.7465
09/23/20,1,1.0542,0.6413,0.5892,0.7498
09/22/20,1,1.042,0.6398,0.5869,0.7511
09/21/20,1,1.0408,0.6409,0.5871,0.7554
09/20/20,1,1.0411,0.641,0.5853,0.7585
09/19/20,1,1.0411,0.641,0.5853,0.7585
09/18/20,1,1.0411,0.641,0.5853,0.7585
09/17/20,1,1.0376,0.6424,0.588,0.7578
09/16/20,1,1.0349,0.6399,0.585,0.7595
09/15/20,1,1.0374,0.6396,0.5891,0.7606
09/14/20,1,1.0439,0.6393,0.5894,0.7593
09/13/20,1,1.0398,0.6401,0.5915,0.7588
09/12/20,1,1.0398,0.6401,0.5915,0.7588
09/11/20,1,1.0398,0.6401,0.5915,0.7588
09/10/20,1,1.0447,0.6416,0.5876,0.7602
09/09/20,1,1.045,0.6425,0.5861,0.7565
09/08/20,1,1.0492,0.6442,0.5827,0.7592
09/07/20,1,1.0483,0.6458,0.5802,0.7636
09/06/20,1,1.0505,0.6448,0.576,0.7636
09/05/20,1,1.0505,0.6448,0.576,0.7636
09/04/20,1,1.0505,0.6448,0.576,0.7636
09/03/20,1,1.047,0.6455,0.5754,0.7626
09/02/20,1,1.0436,0.6454,0.5733,0.7655
09/01/20,1,1.0412,0.641,0.5704,0.7684
08/31/20,1,1.0393,0.641,0.5744,0.7653
08/30/20,1,1.0426,0.643,0.5752,0.7661
08/29/20,1,1.0426,0.643,0.5752,0.7661
08/28/20,1,1.0426,0.643,0.5752,0.7661
08/27/20,1,1.0496,0.6443,0.5767,0.7606
08/26/20,1,1.0533,0.6434,0.577,0.7585
08/25/20,1,1.0561,0.6411,0.5767,0.7575
08/24/20,1,1.0565,0.6421,0.579,0.7607
08/23/20,1,1.0565,0.6425,0.5767,0.7562
08/22/20,1,1.0565,0.6425,0.5767,0.7562
08/21/20,1,1.0565,0.6425,0.5767,0.7562
08/20/20,1,1.0569,0.6388,0.576,0.757
08/19/20,1,1.0472,0.6374,0.5759,0.7606
08/18/20,1,1.0495,0.6381,0.5767,0.7597
08/17/20,1,1.0511,0.6376,0.5778,0.7557
08/16/20,1,1.056,0.639,0.5762,0.7549
08/15/20,1,1.056,0.639,0.5762,0.7549
08/14/20,1,1.056,0.639,0.5762,0.7549
08/13/20,1,1.0566,0.6395,0.5779,0.7567
08/12/20,1,1.0556,0.6392,0.5783,0.7524
08/11/20,1,1.0479,0.6387,0.5739,0.7526
08/10/20,1,1.0449,0.6354,0.5728,0.7474
08/09/20,1,1.0401,0.6341,0.5731,0.7493
08/08/20,1,1.0401,0.6341,0.5731,0.7493
08/07/20,1,1.0401,0.6341,0.5731,0.7493
08/06/20,1,1.0472,0.635,0.5717,0.752
08/05/20,1,1.0453,0.6368,0.5748,0.7549
08/04/20,1,1.0458,0.634,0.5727,0.7459
08/03/20,1,1.0478,0.6347,0.5713,0.7443
08/02/20,1,1.0371,0.629,0.5664,0.7453
08/01/20,1,1.0371,0.629,0.5664,0.7453
07/31/20,1,1.0371,0.629,0.5664,0.7453
07/30/20,1,1.0428,0.6341,0.5724,0.7446
07/29/20,1,1.0436,0.6384,0.577,0.7485
07/28/20,1,1.0458,0.6372,0.5797,0.7466
07/27/20,1,1.0472,0.6358,0.5807,0.7477
07/26/20,1,1.0512,0.6419,0.5841,0.7452
07/25/20,1,1.0512,0.6419,0.5841,0.7452
07/24/20,1,1.0512,0.6419,0.5841,0.7452
07/23/20,1,1.0491,0.6457,0.5889,0.7471
07/22/20,1,1.0385,0.6435,0.5864,0.745
07/21/20,1,1.049,0.6494,0.5848,0.7431
07/20/20,1,1.0532,0.6438,0.5832,0.7371
07/19/20,1,1.0548,0.6447,0.5872,0.7368
07/18/20,1,1.0548,0.6447,0.5872,0.7368
07/17/20,1,1.0548,0.6447,0.5872,0.7368
07/16/20,1,1.0573,0.6472,0.5881,0.7387
07/15/20,1,1.0493,0.644,0.5831,0.737
07/14/20,1,1.0555,0.6457,0.5861,0.7344
07/13/20,1,1.0574,0.6508,0.5853,0.7373
07/12/20,1,1.0594,0.6521,0.5841,0.7353
07/11/20,1,1.0594,0.6521,0.5841,0.7353
07/10/20,1,1.0594,0.6521,0.5841,0.7353
07/09/20,1,1.0604,0.653,0.5854,0.7406
07/08/20,1,1.0589,0.652,0.5863,0.7358
07/07/20,1,1.0616,0.6529,0.5886,0.7371
07/06/20,1,1.0585,0.6522,0.5903,0.7386
07/05/20,1,1.0618,0.6565,0.5916,0.7368
07/04/20,1,1.0618,0.6565,0.5916,0.7368
07/03/20,1,1.0618,0.6565,0.5916,0.7368
07/02/20,1,1.0621,0.6518,0.5881,0.7356
07/01/20,1,1.0691,0.6572,0.5943,0.736
06/30/20,1,1.0666,0.6526,0.5954,0.7307
06/29/20,1,1.0647,0.649,0.5941,0.7323
06/28/20,1,1.065,0.6528,0.5913,0.732
06/27/20,1,1.065,0.6528,0.5913,0.732
06/26/20,1,1.065,0.6528,0.5913,0.732
06/25/20,1,1.068,0.6544,0.5898,0.7329
06/24/20,1,1.0659,0.6523,0.5893,0.7358
06/23/20,1,1.0657,0.6549,0.5936,0.7412
06/22/20,1,1.0711,0.6575,0.5939,0.7372
06/21/20,1,1.0692,0.6575,0.5951,0.7371
06/20/20,1,1.0692,0.6575,0.5951,0.7371
06/19/20,1,1.0692,0.6575,0.5951,0.7371
06/18/20,1,1.0748,0.6571,0.5916,0.7374
06/17/20,1,1.0716,0.6577,0.5883,0.7388
06/16/20,1,1.0655,0.6527,0.5834,0.7381
06/15/20,1,1.0739,0.6518,0.5843,0.7335
06/14/20,1,1.0717,0.6516,0.5842,0.7366
06/13/20,1,1.0717,0.6516,0.5842,0.7366
06/12/20,1,1.0717,0.6516,0.5842,0.7366
06/11/20,1,1.0718,0.6527,0.5852,0.7407
06/10/20,1,1.0651,0.6567,0.5842,0.747
06/09/20,1,1.0711,0.6585,0.5868,0.7437
06/08/20,1,1.0681,0.6611,0.5895,0.7461
06/07/20,1,1.065,0.6563,0.587,0.7436
06/06/20,1,1.065,0.6563,0.587,0.7436
06/05/20,1,1.065,0.6563,0.587,0.7436
06/04/20,1,1.0706,0.6578,0.5899,0.74
06/03/20,1,1.073,0.6591,0.587,0.7378
06/02/20,1,1.0797,0.662,0.5897,0.7397
06/01/20,1,1.0827,0.6567,0.5889,0.73
05/31/20,1,1.0917,0.6545,0.5896,0.7288
05/30/20,1,1.0917,0.6545,0.5896,0.7288
05/29/20,1,1.0917,0.6545,0.5896,0.7288
05/28/20,1,1.0969,0.6598,0.5921,0.7269
05/27/20,1,1.0951,0.6611,0.5923,0.7266
05/26/20,1,1.0892,0.6586,0.5853,0.7228
05/25/20,1,1.0929,0.6553,0.5866,0.7149
05/24/20,1,1.093,0.6548,0.5864,0.7139
05/23/20,1,1.093,0.6548,0.5864,0.7139
05/22/20,1,1.093,0.6548,0.5864,0.7139
05/21/20,1,1.0914,0.6532,0.5875,0.7185
05/20/20,1,1.0948,0.6574,0.5875,0.7204
05/19/20,1,1.0984,0.6557,0.5871,0.718
05/18/20,1,1.1009,0.6578,0.5865,0.7125
05/17/20,1,1.1033,0.6566,0.5826,0.7089
05/16/20,1,1.1033,0.6566,0.5826,0.7089
05/15/20,1,1.1033,0.6566,0.5826,0.7089
05/14/20,1,1.1038,0.6569,0.5813,0.7089
05/13/20,1,1.0947,0.656,0.5789,0.7134
05/12/20,1,1.0953,0.6588,0.5783,0.7154
05/11/20,1,1.1039,0.6607,0.5806,0.7151
05/10/20,1,1.0989,0.6615,0.579,0.7172
05/09/20,1,1.0989,0.6615,0.579,0.7172
05/08/20,1,1.0989,0.6615,0.579,0.7172
05/07/20,1,1.1006,0.6589,0.5764,0.7105
05/06/20,1,1.1196,0.6568,0.5731,0.7098
05/05/20,1,1.1068,0.6579,0.5727,0.7133
05/04/20,1,1.106,0.6498,0.5711,0.711
05/03/20,1,1.1009,0.6633,0.5764,0.7214
05/02/20,1,1.1009,0.6633,0.5764,0.7214
05/01/20,1,1.1009,0.6633,0.5764,0.7214
04/30/20,1,1.1009,0.6633,0.5764,0.7214
04/29/20,1,1.1009,0.661,0.5776,0.7166
04/28/20,1,1.1024,0.6588,0.5737,0.7166
04/27/20,1,1.101,0.6555,0.572,0.7114
04/26/20,1,1.1167,0.6591,0.5767,0.7118
04/25/20,1,1.1167,0.6591,0.5767,0.7118
04/24/20,1,1.1167,0.6591,0.5767,0.7118
04/23/20,1,1.1111,0.6568,0.5727,0.7075
04/22/20,1,1.1186,0.6504,0.5718,0.7068
04/21/20,1,1.1217,0.6496,0.5725,0.704
04/20/20,1,1.1148,0.6525,0.5699,0.7086
04/19/20,1,1.1183,0.6545,0.5692,0.7107
04/18/20,1,1.1183,0.6545,0.5692,0.7107
04/17/20,1,1.1183,0.6545,0.5692,0.7107
04/16/20,1,1.1242,0.6511,0.5675,0.7089
04/15/20,1,1.1284,0.6523,0.57,0.7112
04/14/20,1,1.1234,0.6554,0.5719,0.7186
04/13/20,1,1.1427,0.6551,0.5736,0.7119
04/12/20,1,1.1427,0.6551,0.5736,0.7119
04/11/20,1,1.1427,0.6551,0.5736,0.7119
04/10/20,1,1.1427,0.6551,0.5736,0.7119
04/09/20,1,1.1427,0.6551,0.5736,0.7119
04/08/20,1,1.1551,0.6565,0.5774,0.7136
04/07/20,1,1.152,0.6554,0.5773,0.7133
04/06/20,1,1.1643,0.6545,0.5746,0.7062
04/05/20,1,1.1768,0.6536,0.5742,0.7049
04/04/20,1,1.1768,0.6536,0.5742,0.7049
04/03/20,1,1.1768,0.6536,0.5742,0.7049
04/02/20,1,1.163,0.6472,0.5678,0.7058
04/01/20,1,1.1572,0.641,0.567,0.701
03/31/20,1,1.1505,0.6403,0.5676,0.7015
03/30/20,1,1.1533,0.64,0.5689,0.7061
03/29/20,1,1.1732,0.6443,0.5782,0.7072
03/28/20,1,1.1732,0.6443,0.5782,0.7072
03/27/20,1,1.1732,0.6443,0.5782,0.7072
03/26/20,1,1.1743,0.6466,0.5906,0.71
03/25/20,1,1.1579,0.6435,0.5889,0.6968
03/24/20,1,1.1654,0.6363,0.586,0.6899
03/23/20,1,1.1983,0.6447,0.5994,0.6952
03/22/20,1,1.1946,0.6554,0.5966,0.7018
03/21/20,1,1.1946,0.6554,0.5966,0.7018
03/20/20,1,1.1946,0.6554,0.5966,0.7018
03/19/20,1,1.1928,0.6401,0.5952,0.6914
03/18/20,1,1.179,0.635,0.5854,0.6943
03/17/20,1,1.1789,0.6447,0.5855,0.708
03/16/20,1,1.1711,0.6435,0.5851,0.718
03/15/20,1,1.1491,0.6498,0.5788,0.7216
03/14/20,1,1.1491,0.6498,0.5788,0.7216
03/13/20,1,1.1491,0.6498,0.5788,0.7216
03/12/20,1,1.1385,0.6442,0.5709,0.724
03/11/20,1,1.1162,0.6419,0.5629,0.7276
03/10/20,1,1.1154,0.6419,0.5609,0.7311
03/09/20,1,1.11,0.6405,0.5597,0.7337
03/08/20,1,1.1242,0.6573,0.573,0.7452
03/07/20,1,1.1242,0.6573,0.573,0.7452
03/06/20,1,1.1242,0.6573,0.573,0.7452
03/05/20,1,1.1262,0.6657,0.577,0.7448
03/04/20,1,1.13,0.6729,0.5844,0.7486
03/03/20,1,1.1383,0.6731,0.5856,0.7483
03/02/20,1,1.1441,0.6731,0.5863,0.7486
03/01/20,1,1.1435,0.6776,0.5781,0.7439
02/29/20,1,1.1435,0.6776,0.5781,0.7439
02/28/20,1,1.1435,0.6776,0.5781,0.7439
02/27/20,1,1.1391,0.6832,0.5807,0.7491
02/26/20,1,1.1449,0.6911,0.5816,0.7516
02/25/20,1,1.1416,0.6943,0.5806,0.7526
02/24/20,1,1.14,0.6958,0.5833,0.7527
02/23/20,1,1.1427,0.6983,0.5832,0.7543
02/22/20,1,1.1427,0.6983,0.5832,0.7543
02/21/20,1,1.1427,0.6983,0.5832,0.7543
02/20/20,1,1.1391,0.6991,0.5861,0.7543
02/19/20,1,1.1303,0.7002,0.5822,0.7562
02/18/20,1,1.129,0.6971,0.5785,0.754
02/17/20,1,1.1252,0.6976,0.5807,0.7559
02/16/20,1,1.1245,0.6962,0.5793,0.7549
02/15/20,1,1.1245,0.6962,0.5793,0.7549
02/14/20,1,1.1245,0.6962,0.5793,0.7549
02/13/20,1,1.1202,0.6942,0.5788,0.7543
02/12/20,1,1.118,0.6912,0.581,0.7544
02/11/20,1,1.1218,0.6899,0.5818,0.7521
02/10/20,1,1.123,0.6859,0.5804,0.7511
02/09/20,1,1.1241,0.6847,0.5801,0.7511
02/08/20,1,1.1241,0.6847,0.5801,0.7511
02/07/20,1,1.1241,0.6847,0.5801,0.7511
02/06/20,1,1.1144,0.6845,0.5807,0.7531
02/05/20,1,1.113,0.6829,0.5766,0.7527
02/04/20,1,1.1205,0.6816,0.5786,0.7531
02/03/20,1,1.1279,0.6827,0.5788,0.7555
02/02/20,1,1.1276,0.6837,0.5755,0.7556
02/01/20,1,1.1276,0.6837,0.5755,0.7556
01/31/20,1,1.1276,0.6837,0.5755,0.7556
01/30/20,1,1.1259,0.686,0.5775,0.7566
01/29/20,1,1.1244,0.6898,0.5835,0.7589
01/28/20,1,1.1222,0.6889,0.5828,0.7581
01/27/20,1,1.1205,0.6878,0.5802,0.7583
01/26/20,1,1.1129,0.6901,0.5818,0.7615
01/25/20,1,1.1129,0.6901,0.5818,0.7615
01/24/20,1,1.1129,0.6901,0.5818,0.7615
01/23/20,1,1.1062,0.685,0.5788,0.7597
01/22/20,1,1.1188,0.6913,0.5838,0.7665
01/21/20,1,1.1147,0.6891,0.5859,0.7659
01/20/20,1,1.1151,0.6903,0.5886,0.7652
01/19/20,1,1.112,0.6898,0.587,0.7662
01/18/20,1,1.112,0.6898,0.587,0.7662
01/17/20,1,1.112,0.6898,0.587,0.7662
01/16/20,1,1.1069,0.6869,0.5871,0.7672
01/15/20,1,1.1114,0.6866,0.5883,0.765
01/14/20,1,1.1089,0.6883,0.5893,0.7651
01/13/20,1,1.1104,0.689,0.5909,0.7666
01/12/20,1,1.1127,0.6898,0.585,0.765
01/11/20,1,1.1127,0.6898,0.585,0.765
01/10/20,1,1.1127,0.6898,0.585,0.765
01/09/20,1,1.1164,0.6894,0.588,0.7659
01/08/20,1,1.1192,0.6911,0.5865,0.7681
01/07/20,1,1.1192,0.6887,0.5867,0.7694
01/06/20,1,1.1097,0.6885,0.5867,0.7707
01/05/20,1,1.1078,0.691,0.5882,0.7703
01/04/20,1,1.1078,0.691,0.5882,0.7703
01/03/20,1,1.1078,0.691,0.5882,0.7703
01/02/20,1,1.1001,0.6873,0.5831,0.7693
01/01/20,1,1.0957,0.685,0.5828,0.7696
12/31/19,1,1.0957,0.685,0.5828,0.7696
12/30/19,1,1.0938,0.6839,0.5828,0.7653
12/29/19,1,1.0962,0.6853,0.5834,0.7643
12/28/19,1,1.0962,0.6853,0.5834,0.7643
12/27/19,1,1.0962,0.6853,0.5834,0.7643
12/26/19,1,1.0985,0.6858,0.5866,0.7598
12/25/19,1,1.0985,0.6858,0.5866,0.7598
12/24/19,1,1.0985,0.6858,0.5866,0.7598
12/23/19,1,1.0982,0.686,0.588,0.7598
12/22/19,1,1.1035,0.6859,0.5839,0.7612
12/21/19,1,1.1035,0.6859,0.5839,0.7612
12/20/19,1,1.1035,0.6859,0.5839,0.7612
12/19/19,1,1.1097,0.6855,0.5832,0.7621
12/18/19,1,1.1096,0.6838,0.5816,0.7601
12/17/19,1,1.1092,0.6807,0.5769,0.7598
12/16/19,1,1.1064,0.6839,0.5705,0.7623
12/15/19,1,1.0984,0.6797,0.5676,0.7595
12/14/19,1,1.0984,0.6797,0.5676,0.7595
12/13/19,1,1.0984,0.6797,0.5676,0.7595
12/12/19,1,1.1015,0.6814,0.5762,0.7589
12/11/19,1,1.1046,0.6821,0.5746,0.7554
12/10/19,1,1.1097,0.6818,0.5733,0.7553
12/09/19,1,1.1058,0.6814,0.5737,0.7547
12/08/19,1,1.1075,0.6841,0.5777,0.7589
12/07/19,1,1.1075,0.6841,0.5777,0.7589
12/06/19,1,1.1075,0.6841,0.5777,0.7589
12/05/19,1,1.1123,0.6845,0.5782,0.7593
12/04/19,1,1.1017,0.6799,0.5753,0.7535
12/03/19,1,1.0976,0.6781,0.5777,0.7507
12/02/19,1,1.1081,0.6823,0.5815,0.7521
12/01/19,1,1.1104,0.6843,0.5832,0.7515
11/30/19,1,1.1104,0.6843,0.5832,0.7515
11/29/19,1,1.1104,0.6843,0.5832,0.7515
11/28/19,1,1.1113,0.6838,0.5824,0.7525
11/27/19,1,1.1106,0.6847,0.5851,0.7538
11/26/19,1,1.1083,0.682,0.5846,0.7516
11/25/19,1,1.1081,0.6827,0.5838,0.7515
11/24/19,1,1.1095,0.6812,0.5857,0.7533
11/23/19,1,1.1095,0.6812,0.5857,0.7533
11/22/19,1,1.1095,0.6812,0.5857,0.7533
11/21/19,1,1.1032,0.6776,0.5796,0.7515
11/20/19,1,1.1031,0.6798,0.5827,0.7518
11/19/19,1,1.1094,0.6834,0.5848,0.757
11/18/19,1,1.1108,0.6839,0.5836,0.7565
11/17/19,1,1.1104,0.6846,0.5864,0.7553
11/16/19,1,1.1104,0.6846,0.5864,0.7553
11/15/19,1,1.1104,0.6846,0.5864,0.7553
11/14/19,1,1.1114,0.6855,0.5871,0.7538
11/13/19,1,1.1052,0.6853,0.5877,0.7542
11/12/19,1,1.1028,0.6855,0.5883,0.7551
11/11/19,1,1.1026,0.6846,0.587,0.7559
11/10/19,1,1.1033,0.6868,0.5917,0.7578
11/09/19,1,1.1033,0.6868,0.5917,0.7578
11/08/19,1,1.1033,0.6868,0.5917,0.7578
11/07/19,1,1.1011,0.6856,0.5927,0.7595
11/06/19,1,1.1008,0.685,0.5893,0.7596
11/05/19,1,1.1025,0.6857,0.5905,0.7617
11/04/19,1,1.1007,0.6812,0.5883,0.7601
11/03/19,1,1.1001,0.6811,0.5858,0.7587
11/02/19,1,1.1001,0.6811,0.5858,0.7587
11/01/19,1,1.1001,0.6811,0.5858,0.7587
10/31/19,1,1.0998,0.6815,0.587,0.7602
10/30/19,1,1.1146,0.688,0.5931,0.7641
10/29/19,1,1.1174,0.6903,0.5959,0.7659
10/28/19,1,1.1214,0.6903,0.5959,0.7653
10/27/19,1,1.1212,0.6891,0.5968,0.7654
10/26/19,1,1.1212,0.6891,0.5968,0.7654
10/25/19,1,1.1212,0.6891,0.5968,0.7654
10/24/19,1,1.1188,0.6875,0.5932,0.7651
10/23/19,1,1.1164,0.6869,0.5935,0.764
10/22/19,1,1.1136,0.6858,0.5903,0.7633
10/21/19,1,1.1091,0.6829,0.5868,0.763
10/20/19,1,1.112,0.6831,0.5904,0.7613
10/19/19,1,1.112,0.6831,0.5904,0.7613
10/18/19,1,1.112,0.6831,0.5904,0.7613
10/17/19,1,1.1127,0.6829,0.593,0.7589
10/16/19,1,1.1257,0.6867,0.5944,0.7571
10/15/19,1,1.1189,0.6867,0.5978,0.7559
10/14/19,1,1.12,0.6861,0.6036,0.7568
10/13/19,1,1.1068,0.6812,0.5962,0.7523
10/12/19,1,1.1068,0.6812,0.5962,0.7523
10/11/19,1,1.1068,0.6812,0.5962,0.7523
10/10/19,1,1.111,0.6813,0.6142,0.7515
10/09/19,1,1.1147,0.6846,0.6151,0.7518
10/08/19,1,1.1137,0.6839,0.6141,0.7513
10/07/19,1,1.115,0.6834,0.6093,0.7512
10/06/19,1,1.1119,0.6844,0.6094,0.7514
10/05/19,1,1.1119,0.6844,0.6094,0.7514
10/04/19,1,1.1119,0.6844,0.6094,0.7514
